DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P271	P262	P5475	P254	P254S1	P254S2	P5470	P5470S1	P5471	P5471S1	P5472	P5472S1	P5473	P5473S1	P5474S1	P5474S2	P5474S3	P5474S4	P5474S5	P5474S6	P5474S7	P5474S8	P5474S9	P5476	P5476S1	P5477	P5477S1	P5478	P5478S1	P5479	P5479S1	P5480	P5480S1	P5481	P5481S1	P5482	P5482S1	P5483	P5483S1	P5484	P5484S1	FEX_P
367313400	235	2	3	6	3	1	1	3	4	2		2		2		2		2	2	2	2	2	2	2	2	2	2		1	3	1	2	2		2		1	2	2		1	2	2		1103.21416235312
367313400	235	2	4	6	3	1	1	3	2	2		2		2		2		2	2	2	2	2	2	2	2	2	2		2		1	2	2		2		1	2	2		1	2	2		1103.21416235312
367328160	235	1	2	5	3	2	1	2	2	2		2		2		2		2	2	2	2	2	2	2	2	1	2		2		2		2		2		2		2		2		2		962.358511745301
367389360	235	1	3	7	3	2	1	2	1	1	1	2		1	3	1	3	2	1	2	1	2	1	2	2	1	2		2		2		1	1	1	1	1	1	1	2	2		1	1	246.74430251791
367346280	235	1	3	99	3	1	1	3	2	1	3	2		1	4	2		2	2	1	1	1	2	2	2	1	2		2		2		2		1	2	1	1	2		2		2		1021.80242662024
367379280	235	1	3	6	3	2	1	2	3	1	5	1	5	2		1	5	2	2	2	2	2	2	2	1	2	2		2		2		2		2		1	1	1	3	1	3	1	3	1279.2819031757
367310520	235	1	4	7	4	1	1	3	1	2		2		2		2		2	2	2	2	2	2	2	2	2	1	1	1	1	2		1	4	1	3	1	1	1	2	1	1	1	1	1565.46915672051
367350840	235	1	4	6	4	1	1	3	3	1	2	2		2		2		2	2	2	2	2	2	1	1	1	1	3	2		2		1	3	1	3	1	1	1	3	1	2	2		574.299107838679
367350840	235	1	5	99	4	1	1	2	3	2		2		2		2		2	2	2	1	2	2	2	2	2	2		2		2		2		2		1	1	2		1	3	2		574.299107838679
367288800	235	1	2	99	3	1	1	4	0	2		2		2		2		2	2	2	2	2	2	2	1	1	1	4	1	4	1	2	1	2	1	1	1	1	1	2	1	2	1	1	1524.44151899976
367291320	235	1	3	6	3	1	1	3	3	1	5	2		2		2		2	2	2	2	2	2	2	2	1	1	1	1	3	2		1	5	1	1	1	1	1	3	1	1	2		1648.15761811491
367351680	235	1	3	6	3	1	1	3	0	2		2		2		1	5	2	2	2	1	2	2	2	2	2	1	1	2		1	4	2		1	4	1	1	1	2	1	1	1	1	636.661055723017
367327200	235	1	6	6	3	1	1	3	4	2		2		2		2		2	2	2	2	2	2	2	2	2	1	3	2		2		1	5	1	3	1	1	2		2		2		2056.70604778953
367028880	235	1	4	7	3	1	1	3	4	2		2		1	5	1	5	1	2	2	2	2	2	1	2	2	1	4	1	3	2		1	3	1	2	1	1	1	2	2		2		170.005782001591
366996240	235	1	4	6	3	1	1	3	2	2		2		2		1	5	2	2	2	2	2	2	2	1	2	2		1	2	2		2		1	2	1	1	1	2	2		1	2	1294.86960775062
366996240	235	1	5	7	5	1	1	3	4	2		2		1	5	2		2	2	2	2	2	2	2	2	2	2		2		2		2		1	3	1	1	1	2	1	1	1	1	1294.86960775062
367003680	235	1	2	6	3	1	1	3	2	2		1	5	2		1	5	1	2	2	2	2	2	1	2	2	1	2	1	2	2		2		1	3	1	2	1	1	2		1	2	1346.79658389441
367007280	235	1	5	5	3	1	1	3	1	2		2		2		2		2	2	2	2	2	2	2	2	2	1	2	2		1	4	2		1	2	1	1	2		2		1	2	877.613408651475
366993960	235	1	4	6	4	1	1	3	2	1	2	2		1	1	2		2	2	2	2	1	2	2	2	1	2		2		1	1	2		1	2	1	1	2		1	1	1	1	1717.44782640716
366993960	235	1	5	6	4	1	1	3	1	2		2		2		2		2	2	2	2	2	2	1	2	1	2		2		2		2		2		1	1	1	1	1	1	2		1717.44782640716
366993960	235	1	6	6	4	2	1	2	0	2		2		2		2		2	2	2	2	1	2	2	1	1	2		2		2		2		2		1	1	1	2	2		2		1717.44782640716
366993960	235	1	8	6	4	2	1	2	0	2		2		1	4	2		2	2	2	2	1	2	2	2	1	2		2		2		1	4	2		1	1	2		1	1	2		1717.44782640716
366987240	235	1	4	6	3	1	1	3	1	2		2		2		2		2	2	2	2	2	2	2	1	2	1	2	2		2		1	5	1	2	1	1	1	3	2		1	2	435.493506493506
367013400	235	1	3	6	3	1	1	3	1	2		2		2		1	5	2	2	1	1	2	1	2	2	2	1	2	2		2		2		2		1	1	1	3	2		2		694.17921623678
366987120	235	1	4	6	4	1	1	3	4	2		2		2		2		2	2	2	2	2	2	2	1	1	1	3	2		2		2		1	3	1	1	1	2	2		1	1	1537.512987013
366987120	235	1	5	6	4	1	1	4	0	2		2		2		2		2	2	2	1	2	2	2	1	1	1	2	2		2		2		1	2	1	1	1	1	2		1	2	1537.512987013
367378560	235	1	3	6	4	1	1	3	5	1	5	1	5	2		2		2	2	1	1	2	2	1	1	2	1	4	1	4	2		2		1	4	1	1	1	4	1	2	2		896.049443571247
367378560	235	1	4	6	4	1	1	3	2	1	5	1	5	2		2		2	2	2	1	2	2	2	1	2	1	4	2		2		2		2		1	1	1	3	1	2	2		896.049443571247
367302120	235	1	2	6	4	1	1	4	0	1	4	1	4	1	4	1	4	2	1	2	1	1	2	2	1	1	1	1	1	4	1	4	2		1	4	1	1	1	3	2		1	3	1666.93706674287
367302120	235	1	3	6	4	1	1	2	2	1	4	1	4	1	4	1	5	2	2	2	1	1	2	2	1	1	2		2		2		1	5	2		1	2	1	4	2		1	2	1666.93706674287
367277640	235	1	5	7	3	1	1	3	5	2		2		2		2		2	2	2	2	2	2	1	2	2	1	4	2		2		1	5	1	2	1	1	1	3	1	2	1	2	1503.74457460957
367277640	235	1	6	7	3	1	1	3	1	2		2		2		2		2	2	2	1	2	2	2	2	2	1	4	2		2		2		2		1	1	1	1	1	1	1	1	1503.74457460957
367288560	235	1	3	7	3	2	1	3	0	2		2		2		2		2	2	2	1	1	2	2	2	2	2		2		2		2		1	2	1	1	1	1	2		1	2	1649.78460010491
367314120	235	1	5	6	3	1	1	3	2	2		2		2		1	5	2	2	2	2	1	2	1	2	2	2		2		2		2		1	3	1	1	2		1	1	2		810.583961681159
367329360	235	1	9	5	5	2	1	2	3	2		2		2		2		2	2	2	2	2	2	2	2	2	2		2		2		2		1	1	1	1	1	2	1	1	1	1	1403.45979843279
367389960	235	1	5	6	4	2	1	2	2	2		2		2		2		2	2	2	1	1	2	2	2	1	2		2		2		2		1	2	1	1	2		2		1	2	212.888380666166
367360200	235	1	5	6	4	2	1	3	0	1	3	2		2		2		2	2	2	2	2	2	1	2	2	2		2		2		2		1	2	1	1	1	2	1	2	2		721.496601573367
367314840	235	1	3	6	3	1	1	4	0	2		2		2		2		2	2	2	1	2	2	2	2	2	2		2		2		1	5	2		1	1	1	1	2		2		1027.2453811944
367348680	235	1	6	6	4	1	1	3	2	2		2		2		2		2	2	2	2	2	2	2	2	2	1	2	2		2		2		2		2		2		2		2		838.343005922997
367356240	235	1	4	1	3	1	1	3	4	1	3	2		2		2		2	2	1	1	1	2	1	1	1	1	3	2		2		2		2		1	1	2		2		2		815.086038686071
367280640	235	1	4	6	3	1	1	3	5	1	3	2		2		1	5	2	2	1	2	1	2	1	2	2	1	4	2		2		1	4	1	2	1	2	1	2	2		1	2	1180.60012987638
367298520	235	1	2	7	3	1	1	3	4	2		2		2		2		1	2	2	2	1	2	2	2	2	1	1	2		2		1	2	1	2	1	1	1	3	2		1	2	1629.10187583097
367294800	235	1	2	7	3	1	1	3	2	2		1	1	2		2		2	2	2	1	1	2	2	2	1	1	2	1	2	2		2		2		1	1	2		1	1	1	1	1433.81640278112
367273320	235	1	5	6	5	1	1	3	2	2		1	5	2		2		2	2	1	1	2	2	2	2	2	2		2		2		1	5	2		1	1	2		2		2		807.868787608737
367383360	235	1	5	1	4	2	1	2	2	1	5	2		1	5	1	5	2	2	2	1	1	2	2	1	2	2		2		2		2		1	1	1	1	2		2		2		1252.10485428527
367345920	235	1	6	6	4	1	1	3	4	2		2		2		2		2	2	2	2	2	2	2	2	2	1	1	2		2		2		2		1	1	1	2	2		2		1060.20158728242
367345920	235	1	7	6	4	1	1	3	3	2		2		2		2		2	2	2	2	2	2	2	2	2	1	1	1	2	1	2	2		2		1	1	2		2		2		1060.20158728242
367328280	235	1	5	5	4	2	1	3	1	1	2	2		2		2		2	2	2	2	2	2	2	2	2	2		2		2		2		2		1	1	2		2		2		590.977656280953
367328280	235	1	6	5	4	2	1	2	3	2		2		2		2		2	2	2	2	2	2	2	2	2	2		2		2		2		2		1	1	2		2		1	1	590.977656280953
