DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P271	P262	P5475	P254	P254S1	P254S2	P5470	P5470S1	P5471	P5471S1	P5472	P5472S1	P5473	P5473S1	P5474S1	P5474S2	P5474S3	P5474S4	P5474S5	P5474S6	P5474S7	P5474S8	P5474S9	P5476	P5476S1	P5476S2	P5476S3	P5476S4	P5476S5	P5477	P5477S1	P5478	P5478S1	P1701S1	P1701S2	P1701S3	P1701S4	P1701S5	P1701S6	P1701S7	P1702	P1703	P1704	P1705	P5479	P5479S1	P5480	P5480S1	P5481	P5481S1	P5482	P5482S1	P5483	P5483S1	P5484	P5484S1	FEX_P
3066184	235	1	4	5	3	1	1	3	1	2		2		2		2		2	2	2	2	2	2	2	2	2	2						2		2		1	2	2	2	2	2	2	2				2		1	1	1	1	1	1	2		1	1	993.020914252626
3066184	235	1	5	5	3	2	1	2	2	2		2		2		2		2	2	2	2	2	2	2	2	2	1	3	4	0	4	0	2		2									1	3	2		2		1	1	1	1	2		2		1	1	993.020914252626
3066187	235	1	3	5	3	1	1	3	0	2		2		2		1	3	2	2	2	1	1	2	2	2	2	1	2	5	4	5	0	2		2									1	3	1	1	1	2	1	1	1	1	1	1	2		1	2	959.223966383821
3066189	235	1	4	5	4	1	1	3	2	1	4	2		2		2		2	2	2	2	2	2	2	2	2	1	2	3	3	3	0	2		2									2		1	2	2		1	2	1	1	1	1	2		1	2	1023.02860715309
3066189	235	1	5	5	4	2	1	2	3	1	5	1	5	2		2		2	2	2	2	2	2	1	2	2	1	2	3	3	3	0	2		2									2		2		2		1	2	1	1	1	1	2		1	1	1023.02860715309
3066191	235	1	2	5	3	1	1	3	4	1	2	1	4	2		1	4	2	2	2	2	1	2	1	2	2	1	2	2	1	2	0	1	4	1	2								1	3	1	2	2		1	2	1	1	1	2	2		1	2	999.172571827194
3066191	235	1	3	5	3	2	1	2	2	1	5	1	5	1	5	1	5	2	2	2	1	1	2	2	2	2	1	2	2	2	2	0	2		2									1	3	2		2		1	2	1	1	1	4	2		1	2	999.172571827194
3066194	235	1	4	6	3	1	1	4	0	2		2		2		1	5	2	2	2	2	2	2	2	2	2	1	4	1	0	1	0	1	2	2									2		1	2	1	5	1	2	1	1	1	2	2		1	3	694.618988159279
3066196	235	1	3	5	4	1	1	2	3	2		2		2		2		2	2	2	2	2	2	2	1	2	1	1	2	2	2	0	2		2									1	1	1	2	2		1	2	1	1	1	2	2		2		1008.51619000548
3066201	235	1	3	6	3	1	1	3	4	2		2		2		2		2	2	2	2	2	2	2	2	2	1	2	2	2	2	0	2		2									1	3	1	2	2		1	2	1	1	2		2		2		1136.23984131402
3066201	235	2	2	6	3	2	1	2	3	2		2		2		2		2	2	2	2	2	2	2	2	2	2						2		2		2	2	2	1	2	2	2	1	4	2		2		2		1	1	1	3	2		2		1136.23984131402
3066205	235	1	3	6	3	1	1	3	0	2		2		2		2		2	2	2	2	2	2	2	1	2	1	3	1	1	1	0	2		2									1	3	1	2	2		2		1	1	2		2		2		753.355023005844
3066206	235	1	6	6	4	2	1	3	2	2		2		2		2		2	2	2	2	2	2	2	2	2	1	3	1	1	1	0	2		2									1	3	2		2		2		1	1	2		2		2		729.608514302561
3066211	235	1	3	6	4	1	1	3	1	2		2		2		2		2	2	2	2	2	2	2	2	2	2						2		2		2	2	1	1	2	2	2	2		2		2		2		2		2		2		2		970.153545236448
3066222	235	1	2	6	3	1	1	3	4	2		2		2		2		2	2	2	2	2	2	2	2	2	1	4	2	1	2	0	2		2									1	3	1	4	2		2		1	1	1	3	2		2		1198.29167898119
3066222	235	1	3	6	3	1	1	3	2	2		2		2		2		2	2	2	2	2	2	2	1	2	1	2	3	3	3	0	2		2									2		1	2	1	3	2		1	1	2		2		2		1198.29167898119
3066222	235	1	4	6	3	2	2	3	0	2		2		2		2		2	2	2	2	2	2	2	2	2	2						2		2		2	2	1	2	2	2	2	2		2		2		2		1	1	2		2		2		1198.29167898119
3066223	235	1	3	6	3	1	1	3	3	2		2		2		1	5	2	2	2	1	1	2	1	1	1	1	2	3	3	3	0	2		1	3								1	3	1	2	1	4	1	3	1	1	2		1	3	2		955.60462856724
3066232	235	1	3	1	3	1	1	3	4	1	5	1	4	2		2		1	2	2	2	2	2	2	2	2	2						1	4	2									1	3	1	2	2		2		1	2	2		2		1	2	349.981049562532
3066232	235	1	4	1	3	1	1	3	1	2		1	4	2		1	5	1	2	2	2	2	2	2	2	2	2						2		2		2	2	2	2	2	1	2	1	3	1	2	2		2		1	2	2		1	2	2		349.981049562532
3066233	235	1	7	1	3	1	1	3	5	1	5	1	5	1	5	1	5	1	2	1	1	1	2	1	2	2	1	6	1	1	1	0	2		2									2		1	4	2		1	3	1	1	2		2		1	3	478.961388306278
3066233	235	1	8	1	3	1	1	3	4	1	5	1	5	2		2		2	2	1	2	2	2	1	2	2	1	3	1	1	1	0	2		2									2		1	2	2		1	3	1	1	2		2		1	3	478.961388306278
3066240	235	1	2	1	3	1	1	3	1	2		2		2		2		2	2	2	2	2	2	2	2	2	1	2	1	0	1	0	2		2									1	3	2		2		2		1	2	2		1	2	2		163.960580165913
3066243	235	1	3	5	3	1	1	3	4	2		1	5	2		1	4	2	2	2	1	2	2	1	1	2	2						2		2		1	2	1	2	1	1	2	2				2		1	2	1	1	1	1	2		2		205.132772757222
3066252	235	1	4	1	3	1	1	4	2	2		1	5	2		2		2	2	1	2	2	2	2	2	2	2						2		2		1	2	2	2	2	2	2	2				2		2		1	3	1	4	1	2	2		483.468902513935
3066252	235	1	5	1	3	1	1	3	2	2		1	5	2		1	5	1	2	1	2	2	2	2	2	2	2						2		2		1	2	2	2	2	2	2	2				2		2		1	1	1	4	1	3	2		483.468902513935
3066252	235	1	6	1	3	2	1	2	0	2		2		2		2		2	2	2	2	2	2	2	1	2	2						2		2		2	1	2	2	2	2	2	2		2		2		2		2		2		1	2	2		483.468902513935
3066265	235	1	7	6	5	1	1	3	3	1	3	2		1	5	1	5	2	2	2	2	1	2	2	1	2	1	1	22	2	22	0	1	2	1	2								1	3	1	1	2		1	3	1	1	2		2		1	2	1038.41507559679
3066268	235	1	4	6	3	1	1	3	4	2		2		2		1	5	2	2	2	2	2	2	2	2	2	1	2	4	4	4	0	2		2									1	3	1	2	2		2		1	1	2		1	1	2		643.986211381998
3066284	235	1	2	6	3	1	1	2	3	2		2		2		1	5	2	2	1	2	1	2	2	2	2	1	1	7	4	7	0	2		2									1	3	1	1	2		1	1	1	1	2		1	1	1	1	703.851129568494
3066286	235	1	3	6	3	1	1	2	3	1	3	2		2		1	5	2	2	1	1	2	1	1	1	2	1	3	3	0	3	0	2		2									1	2	1	2	1	4	1	2	1	1	2		1	1	1	2	886.477043179162
3066287	235	1	4	6	9	1	1	3	3	1	5	1	5	2		1	5	2	2	1	1	2	1	2	2	1	1	2	3	3	3	0	2		2									1	3	1	2	1	3	1	1	1	1	2		1	2	2		332.555233059468
3066288	235	1	2	1	5	1	1	3	3	1	1	1	1	2		2		2	2	1	2	2	2	1	1	2	1	3	10	7	10	0	2		2									1	4	1	2	1	2	1	2	1	1	1	2	2		1	1	877.945200839148
3066291	235	1	3	6	5	1	1	3	1	1	4	2		2		1	4	2	2	2	2	1	1	2	1	1	1	1	1	1	1	0	1	3	2									1	3	1	1	1	3	1	3	1	1	1	3	2		1	1	601.358794843676
3066291	235	1	4	6	5	1	1	3	0	1	4	2		2		1	4	2	2	2	1	1	1	2	2	1	2						1	1	2									1	3	1	1	1	4	1	3	1	1	1	2	2		1	3	601.358794843676
3066298	235	1	5	6	4	1	1	3	5	2		1	2	2		1	5	2	2	2	1	1	2	2	1	1	2						1	3	1	3								2		1	3	1	2	1	3	1	1	2		1	2	1	2	575.284453171903
3066302	235	1	4	6	4	2	1	2	3	1	2	2		2		1	5	2	2	2	2	1	2	2	1	1	1	3	1	0	1	0	2		2									1	3	1	2	2		2		1	1	1	2	1	1	1	2	371.014400555247
3066302	235	1	6	1	4	1	1	3	1	2		1	5	1	5	1	5	1	2	1	2	1	2	2	1	1	1	6	1	1	1	0	2		2									1	1	1	1	1	5	1	2	1	1	1	2	2		1	3	371.014400555247
3066317	235	1	3	6	3	1	1	3	2	2		2		2		1	4	2	2	2	2	2	2	2	2	2	1	2	3	2	3	0	2		2									1	3	1	2	2		1	2	1	1	1	2	2		1	2	1760.0837226473
3066318	235	1	3	6	3	2	1	2	3	2		2		2		1	5	2	2	2	2	2	2	2	2	2	1	2	5	0	5	0	2		2									1	2	2		1	2	2		1	1	2		2		2		1760.0837226473
3066319	235	1	3	6	3	1	1	3	2	1	3	2		2		2		2	2	1	1	1	2	2	2	1	1	2	1	1	1	0	2		2									1	3	1	2	1	4	1	2	1	1	1	2	1	2	2		1848.98773146692
3066319	235	1	4	6	3	1	1	2	3	1	3	2		2		2		2	2	2	1	1	2	2	2	1	2						2		2		2	1	2	2	2	2	2	1	3	2		1	4	1	3	1	1	2		2		2		1848.98773146692
3066322	235	1	3	6	3	1	1	3	4	1	3	2		1	4	1	4	1	1	2	1	2	2	1	2	1	1	2	3	3	3	0	2		2									2		1	2	1	4	1	2	1	1	1	3	2		1	2	111.629927274451
3066326	235	1	4	6	3	1	1	3	2	1	5	1	5	2		2		2	2	2	2	2	2	1	1	1	1	2	5	5	5	0	2		2									1	3	1	2	1	4	1	2	1	1	1	1	2		1	3	215.641771467143
3066328	235	1	5	6	9	1	1	3	1	2		1	3	2		2		2	2	2	1	2	2	1	2	1	1	1	1	1	1	0	2		2									1	6	1	1	2		1	3	1	1	2		1	1	2		2175.78650388038
3066330	235	1	4	6	3	2	1	3	1	2		2		2		2		2	2	2	2	2	2	2	2	2	1	3	3	3	1	2	2		2									1	3	1	1	1	5	1	1	1	1	1	1	2		1	1	1531.36636904612
3066331	235	1	5	6	4	1	1	3	1	1	5	2		2		2		2	2	2	2	2	2	2	2	2	1	3	1	0	1	0	2		2									1	1	1	2	2		1	1	1	2	2		1	2	2		1861.1097864453
3066335	235	1	3	6	9	1	1	3	5	2		2		2		2		2	2	2	2	1	2	2	1	1	1	5	2	2	2	0	2		2									2		1	3	1	3	1	2	1	1	2		1	1	1	3	1987.66365098713
3066341	235	1	5	6	3	2	1	3	1	1	4	2		2		2		2	2	2	2	2	2	2	2	2	1	4	2	0	2	0	2		2									1	3	2		2		1	2	1	1	2		2		2		2074.70037104892
3066347	235	1	4	6	4	1	1	3	3	2		2		2		2		2	2	2	1	1	2	2	2	1	1	1	1	0	1	0	1	3	2									2		1	1	1	4	1	1	1	1	1	1	1	3	1	3	1313.71785048961
3066347	235	1	5	6	4	1	1	3	1	2		2		1	5	2		2	2	2	1	1	2	2	2	1	1	4	3	3	3	0	1	4	2									2		1	3	1	3	1	1	1	1	1	4	2		1	3	1313.71785048961
3066348	235	1	3	6	3	2	1	1	1	2		2		2		2		2	2	2	1	2	2	2	1	1	1	2	1	0	1	0	2		2									1	3	1	2	1	5	1	2	1	1	2		1	2	2		1917.73859207097
3066349	235	1	4	6	4	1	1	3	4	1	1	2		2		2		2	2	2	2	2	2	2	2	2	1	1	2	2	2	0	2		1	2								1	1	1	3	2		2		1	1	1	1	1	1	1	2	2260.442784014
3066349	235	1	5	6	4	1	1	3	1	2		2		2		2		2	2	2	2	2	2	2	2	2	1	1	1	1	1	0	2		2									1	1	1	1	2		2		1	1	1	2	2		2		2260.442784014
3066351	235	1	5	6	4	1	1	3	4	1	3	1	5	1	5	1	4	2	2	2	1	1	2	1	1	1	1	1	10	7	10	0	1	3	1	3								1	3	1	1	1	3	1	2	1	1	1	1	1	2	2		1279.99050831412
3066359	235	1	3	6	3	1	1	3	3	1	5	2		2		2		2	2	2	1	2	2	2	2	1	1	1	1	1	1	0	2		2									1	3	1	1	2		1	2	1	1	2		1	1	1	2	1849.69814507513
3066359	235	1	4	6	3	1	1	3	2	1	3	2		2		2		2	2	2	1	2	2	2	2	2	1	2	1	0	1	0	2		2									1	2	1	3	2		1	2	1	2	1	2	1	1	1	2	1849.69814507513
3066361	235	1	3	6	3	1	1	3	2	1	2	1	2	2		2		2	2	2	2	2	2	2	2	2	1	1	1	1	1	0	2		2									1	2	1	1	2		2		1	1	2		2		2		1844.97571462589
3066361	235	1	4	6	3	1	1	3	2	1	2	1	2	2		2		2	2	2	2	2	2	2	2	2	1	1	1	1	1	0	2		2									1	2	1	1	2		2		1	2	2		2		2		1844.97571462589
3066363	235	1	6	6	3	1	1	4	0	2		2		2		1	5	2	2	2	2	2	2	2	2	2	1	4	3	3	3	0	1	4	1	3								2		1	2	2		1	2	1	2	2		1	3	1	3	1958.39150877924
3066366	235	1	2	6	3	1	1	3	3	1	5	2		2		2		2	2	2	2	2	2	2	2	2	1	2	3	3	3	0	2		2									1	3	1	2	2		2		1	1	1	4	2		2		1750.81144070784
3066366	235	1	3	6	3	1	1	3	0	2		2		2		2		2	2	2	2	2	2	2	2	2	1	3	10	10	10	0	2		2									1	3	1	3	2		2		1	2	2		2		2		1750.81144070784
3066371	235	1	3	6	4	1	1	3	4	1	4	1	5	2		1	5	2	2	2	2	2	2	2	2	2	1	3	3	3	3	0	1	4	1	3								1	1	1	3	1	3	1	3	1	1	1	2	1	3	2		1509.98870387152
3066376	235	1	3	6	3	1	1	3	4	2		2		2		2		2	2	2	2	2	2	2	2	2	2						2		2		1	2	2	2	2	2	2	2				2		1	3	1	1	2		2		2		2139.31686102511
3066379	235	1	3	6	3	1	1	3	2	1	2	2		2		2		2	2	2	1	2	2	1	1	1	1	1	2	0	2	0	2		2									1	3	1	1	1	2	1	1	1	1	1	1	2		2		2139.31686102511
3066392	235	1	3	6	3	1	1	2	2	1	1	1	1	2		2		2	2	2	2	1	1	2	2	1	1	1	3	0	3	0	1	3	2									1	3	1	1	2		1	1	1	1	1	2	2		1	2	1396.48577726516
3066397	235	1	4	5	3	1	1	4	1	2		2		2		2		2	2	2	2	2	2	2	2	2	1	2	3	3	3	0	2		1	3								1	3	1	2	1	4	1	2	1	1	1	2	1	2	1	2	1410.26014549245
3066400	235	1	5	5	3	1	1	3	5	2		2		2		2		2	2	2	2	2	2	2	2	2	1	3	1	1	1	0	1	3	1	3								1	3	1	2	2		2		1	1	1	2	1	2	2		1593.99383022576
3066403	235	1	3	5	3	1	1	3	3	2		2		2		2		2	2	2	2	2	2	2	2	2	1	3	3	0	3	0	1	3	1	3								1	4	2		2		1	3	1	1	1	3	1	1	2		1746.20200146302
3066405	235	1	4	5	3	1	1	3	4	2		2		2		2		2	2	2	2	1	2	2	2	2	2						2		2		2	2	1	2	2	2	2	1	4	1	3	2		1	3	1	1	2		1	3	2		1896.51698811819
3066411	235	1	3	5	4	2	1	3	1	2		2		2		2		2	2	2	2	1	2	2	2	2	2						2		2		1	2	2	2	2	2	2	1	4			2		2		1	1	2		1	1	2		1578.9822000136
3066415	235	1	6	6	3	1	1	3	4	2		2		2		2		2	2	1	2	2	2	2	2	2	1	5	3	3	3	0	2		2									1	3	1	4	2		1	1	1	1	2		1	3	1	1	2770.84201148367
3066417	235	1	5	6	4	2	1	2	2	2		2		2		2		2	2	2	2	2	2	2	2	2	2						2		1	2								1	3	2		2		2		1	1	2		2		2		1328.27461512861
3066425	235	1	7	6	4	1	1	3	3	2		2		2		2		2	2	1	2	2	2	2	2	2	1	2	3	3	3	0	2		2									1	3	2		2		1	2	1	1	1	2	2		2		1645.72366113706
3066428	235	1	9	6	4	1	1	3	2	2		2		2		2		2	2	1	2	1	2	2	2	2	1	2	4	4	4	0	2		2									1	4	1	2	2		1	2	1	1	1	3	2		2		1591.00649112751
3066431	235	1	5	6	4	1	1	3	2	1	4	2		2		2		2	2	1	2	2	2	2	2	2	1	1	5	5	5	0	2		2									1	3	2		1	3	1	1	1	1	1	1	1	2	2		1258.80529499007
3066433	235	1	3	6	3	1	1	4	1	2		2		2		2		2	2	1	2	2	2	2	2	2	2						2		1	3								2		2		2		1	2	1	1	1	2	2		2		832.35003734617
3066435	235	1	3	6	4	1	1	4	1	2		2		2		2		2	2	1	2	2	2	2	2	2	1	5	3	3	3	0	2		1	3								1	1	1	5	2		1	1	1	2	2		1	1	1	1	1743.92989860516
3066435	235	1	4	6	4	1	1	3	1	1	4	2		2		2		2	2	2	2	2	2	2	2	2	2						2		2		1	2	2	2	2	2	2	1	1			2		1	2	1	1	1	1	1	1	1	1	1743.92989860516
3066435	235	1	7	6	4	1	1	3	3	1	4	2		1	4	2		2	2	2	2	2	2	2	1	2	1	2	3	3	3	0	2		2									1	3	1	4	1	4	1	2	1	1	2		2		1	2	1743.92989860516
3066448	235	1	2	6	3	1	1	2	3	2		2		2		2		2	2	2	2	2	2	2	2	2	1	1	1	1	1	0	2		2									2		2		1	4	1	1	1	1	2		2		2		1662.49826582279
3066451	235	1	4	6	4	1	1	3	4	1	4	2		2		2		2	2	1	2	1	2	2	2	1	1	1	2	2	2	0	2		2									2		1	1	1	4	1	2	1	1	1	2	2		2		1583.20602964899
3066452	235	1	4	6	3	1	1	3	4	2		1	2	2		2		2	2	1	2	2	2	2	2	2	2						2		2		1	2	2	2	2	2	2	2				2		1	2	1	2	1	2	2		2		2720.20495163008
3066452	235	1	5	6	3	2	1	3	1	2		1	2	2		2		2	2	1	2	2	2	2	2	2	2						2		2		1	2	2	2	2	2	2	2				2		1	2	1	1	1	2	2		2		2720.20495163008
3066452	235	1	6	6	3	2	1	2	3	2		2		2		2		2	2	1	2	2	2	2	1	2	2						2		2		1	2	2	2	2	2	2	2				2		1	2	1	1	1	1	1	2	2		2720.20495163008
3066454	235	1	5	6	5	1	1	3	5	2		2		2		1	5	2	2	1	2	2	2	2	2	1	1	3	1	1	1	0	2		2									1	3	2		2		1	2	1	1	1	3	1	3	1	3	2133.23612386521
3066454	235	1	6	6	5	1	1	2	3	2		2		2		2		2	2	1	2	2	2	2	2	1	1	2	3	0	3	0	2		2									1	3	2		2		2		1	1	1	3	2		2		2133.23612386521
3066464	235	1	4	6	4	2	1	2	3	2		2		2		2		2	2	2	2	2	2	2	2	2	2						2		2		2	2	2	2	2	1	2	1	3	2		2		2		1	1	2		2		2		1749.65483682292
3066465	235	1	5	6	5	1	1	3	2	2		2		2		2		2	2	2	2	2	2	2	1	2	2						1	4	2									1	3	1	1	2		2		1	1	2		1	2	2		1066.74783185005
3066466	235	1	2	6	3	2	2	1	1	2		2		2		2		2	2	1	2	2	2	2	2	2	2						2		2		2	2	2	1	1	2	2	2		2		2		2		2		2		1	1	2		1154.54904306554
3066466	235	1	9	6	3	2	2	1	1	2		2		2		2		2	2	1	2	2	2	2	2	2	2						2		2		1	2	2	1	2	1	2	2				2		2		2		2		2		2		1154.54904306554
3066467	235	1	3	6	3	2	2	1	1	2		2		2		2		2	2	2	2	2	2	2	2	2	2						2		2		2	1	1	2	2	2	2	2		2		2		2		2		2		2		1	3	1294.56153157859
3066468	235	1	5	6	4	1	1	3	2	2		2		2		2		2	2	2	2	2	2	2	2	2	1	5	1	1	1	0	2		2									1	3	1	5	2		2		1	1	1	2	1	2	1	2	1368.52789878368
3066473	235	1	5	6	3	1	1	3	1	2		1	5	2		2		2	2	2	2	2	2	1	2	2	2						2		2		2	2	2	2	1	2	2	1	3	1	5	2		2		1	2	1	2	1	2	1	1	1449.28964755348
3066479	235	1	4	6	3	1	1	3	5	2		2		2		2		2	2	1	2	2	2	2	2	2	2						2		2		1	1	1	2	2	2	2	1	3			1	4	1	2	1	1	2		2		2		1562.26277811777
3066483	235	1	3	6	3	1	1	3	1	2		2		2		2		2	2	2	2	2	2	2	2	2	1	1	1	1	1	0	2		2									1	1	1	1	1	5	1	1	1	1	1	1	2		2		1630.77151119792
3066485	235	1	3	6	3	1	1	3	5	1	2	2		1	3	1	3	2	2	2	2	1	2	2	1	2	2						2		2		1	1	1	2	2	2	2	2				2		2		1	1	1	3	2		2		4641.4942124572
3066488	235	1	4	6	4	1	1	4	1	2		2		1	2	1	2	2	2	2	2	1	2	2	1	2	2						1	2	2									1	2	1	2	1	2	2		1	1	2		2		2		7148.01357173665
3066488	235	1	5	6	4	1	1	3	5	2		2		2		2		2	2	2	2	2	2	2	1	1	2						2		2		2	1	1	2	2	2	2	2		2		2		2		1	1	1	1	2		2		7148.01357173665
3066494	235	1	4	6	4	1	1	3	2	2		2		2		2		2	2	2	2	2	2	2	2	2	2						2		2		2	2	1	2	2	2	2	1	3	2		1	5	1	1	1	1	2		2		2		6057.55924137446
3066494	235	1	5	6	4	2	1	2	2	2		2		2		2		2	2	2	2	2	2	2	2	2	2						2		2		2	2	2	2	2	1	2	1	3	1	6	1	5	1	1	1	1	1	2	1	2	2		6057.55924137446
3066498	235	1	4	6	3	1	1	3	4	2		2		2		1	3	2	2	2	2	2	2	2	1	1	2						2		2		1	2	1	2	2	2	2	2				2		1	2	1	1	1	2	2		2		7109.82897076024
3066499	235	1	2	6	3	1	1	4	1	2		2		2		1	3	2	2	1	2	2	2	2	2	2	2						1	4	2									2		1	3	1	2	2		1	1	2		2		2		2014.8170926627
3066499	235	1	3	6	3	1	1	3	5	1	3	2		2		2		2	2	1	2	2	2	2	1	2	2						2		1	3								1	2	2		1	3	2		1	1	2		2		2		2014.8170926627
3066509	235	1	4	6	3	1	1	3	5	1	2	2		1	3	1	2	2	2	2	2	2	2	2	1	1	2						2		1	2								1	3	1	2	1	2	1	1	1	1	2		1	1	2		1354.57455618656
3066510	235	1	4	6	3	1	1	3	4	2		2		2		2		2	2	2	2	2	2	2	2	2	1	6	1	1	1	0	2		2									2		1	4	1	3	2		1	1	2		2		2		1562.26277811777
3066515	235	1	7	6	4	1	1	4	1	2		1	5	2		1	5	2	2	1	2	1	2	1	1	1	1	2	10	6	4	6	1	4	1	4								2		1	2	1	4	1	1	1	1	1	3	1	3	1	3	945.425330077722
3066531	235	1	3	6	3	1	1	3	2	2		1	5	1	4	1	4	2	2	1	1	1	1	1	2	1	1	1	10	8	8	2	1	6	1	2								2		1	1	1	3	1	2	1	1	1	2	2		1	1	1438.49333787019
3066537	235	1	3	6	3	1	1	3	3	2		2		2		1	4	2	2	2	2	2	2	1	1	1	1	1	4	4	4	0	2		2									1	2	2		1	2	1	1	1	1	1	1	2		1	3	1651.02051215346
3066538	235	1	5	6	4	1	1	3	3	1	4	1	5	2		1	5	2	2	2	1	2	2	2	2	1	1	2	2	2	2	0	2		2									1	3	1	3	2		1	2	1	1	1	3	2		1	2	1528.36303006243
3066539	235	1	3	6	4	2	1	2	2	2		2		2		2		2	2	2	2	2	2	2	2	2	2						2		2		2	1	1	2	1	2	2	1	3	2		2		2		1	1	2		2		2		1557.91134866697
3066542	235	1	2	6	3	1	1	3	5	2		1	4	1	3	1	5	2	1	2	1	2	2	1	2	1	1	2	4	4	4	0	1	3	1	3								2		1	2	1	2	1	1	1	1	1	1	1	2	1	2	1534.67880655785
3066544	235	1	3	6	3	1	1	3	1	2		2		2		1	4	2	2	2	2	1	2	2	2	1	1	2	5	3	5	0	2		2									1	1	1	2	1	4	1	2	1	1	1	3	1	2	1	2	1287.98265129256
3066545	235	1	4	6	3	1	1	3	5	2		2		2		1	4	2	2	2	1	1	2	2	2	1	1	1	4	4	4	0	2		2									1	1	1	2	2		1	2	1	1	1	3	2		2		1392.22542506126
3066546	235	1	4	6	3	1	1	2	2	1	4	2		2		1	4	2	2	2	1	1	2	1	2	1	1	1	7	3	7	0	2		2									1	4	1	2	1	3	1	1	1	1	1	3	2		1	2	1678.40773262211
3066548	235	1	4	6	3	1	1	3	1	1	2	2		1	4	1	4	2	1	2	1	1	2	2	1	2	1	1	6	6	4	2	1	2	1	2								1	3	1	2	2		1	2	1	1	1	2	1	1	1	2	1465.88055833884
3066551	235	1	3	6	3	1	1	3	2	1	3	2		1	5	1	5	2	2	1	1	1	1	2	2	1	1	1	5	5	5	0	1	2	1	2								1	3	1	1	2		1	2	1	1	1	3	2		1	2	1604.6989224192
3066554	235	1	4	6	3	1	1	3	3	2		2		2		2		2	2	2	2	2	2	2	2	2	1	1	2	2	2	0	2		2									1	3	1	2	2		2		1	1	2		2		2		1489.31177271953
3066560	235	1	3	6	3	2	1	2	3	1	5	2		2		1	5	2	2	2	2	2	2	1	1	2	2						2		2		2	1	2	2	2	2	2	1	3	2		2		2		1	1	2		1	2	2		1766.93207717491
3066563	235	1	5	6	3	1	1	3	3	2		2		2		2		2	2	2	2	2	2	2	2	2	1	2	4	0	4	0	2		2									1	3	1	3	2		1	2	1	1	2		1	2	1	3	2414.93879608423
3066566	235	1	2	6	3	1	1	3	1	2		2		2		2		2	2	2	2	2	2	2	2	2	1	2	1	1	1	0	2		2									1	3	1	3	2		2		2		2		2		2		3224.57665933624
3066566	235	1	3	6	3	1	1	2	1	2		2		2		2		2	2	2	2	2	2	2	2	2	1	2	1	1	1	0	2		2									1	3	2		2		2		2		2		2		2		3224.57665933624
3066570	235	1	3	6	3	2	1	2	3	2		2		2		1	4	2	2	2	1	2	2	2	2	1	1	2	3	0	3	0	2		2									1	3	2		1	3	1	4	1	1	1	4	2		2		2569.52602259236
3066577	235	1	8	6	4	1	1	3	4	2		2		2		2		2	2	2	2	2	2	2	2	2	1	3	1	1	1	0	2		2									1	3	1	2	1	5	1	1	1	1	1	3	2		1	3	1085.27787352579
3066577	235	1	5	6	4	1	1	4	1	2		2		2		2		2	2	2	2	2	2	2	2	1	1	3	2	2	2	0	2		2									1	1	1	2	1	2	1	2	1	1	1	3	2		2		1085.27787352579
3066577	235	1	6	6	4	1	1	3	2	2		2		2		2		2	2	2	2	2	2	2	2	2	2						2		2		1	2	2	2	2	2	2	1	1			1	2	2		1	1	1	3	2		1	1	1085.27787352579
3066578	235	1	3	1	3	1	1	3	3	1	3	1	5	1	5	2		2	1	2	1	2	1	2	2	2	1	4	2	2	2	0	2		2									1	3	1	2	1	2	1	2	1	2	1	2	2		2		1204.77810835658
3066579	235	1	2	6	3	1	1	3	5	1	4	1	4	1	4	1	4	1	2	1	1	1	1	1	1	1	1	1	2	2	2	0	1	4	2									1	3	1	1	1	1	1	1	1	1	1	2	2		1	1	1094.67604070772
3066582	235	1	6	6	4	1	1	3	1	1	3	2		2		1	5	1	1	2	2	2	1	2	2	2	1	1	2	2	2	0	2		1	1								1	2	1	1	1	2	1	3	1	1	1	1	1	1	1	3	106.484343246024
3066589	235	1	2	6	3	1	1	3	1	1	1	1	5	2		2		2	2	2	1	2	2	2	2	2	1	2	1	1	1	0	2		2									1	3	1	2	1	5	1	3	1	2	1	3	2		2		300.069830533599
3066590	235	1	2	6	3	1	1	3	3	2		2		1	5	1	2	2	2	2	2	1	2	1	2	2	1	1	4	4	4	0	2		2									2		1	1	2		1	2	1	1	2		1	1	1	1	362.428796634786
3066590	235	1	3	6	3	1	1	3	2	2		2		1	2	2		2	2	2	1	2	2	1	2	1	1	1	5	3	5	0	1	3	1	3								2		1	1	1	2	1	1	1	1	1	2	1	1	1	1	362.428796634786
3066590	235	1	4	6	3	2	2	1	1	2		2		2		1	2	2	2	2	2	2	2	2	2	2	2						2		2		2	1	2	2	2	2	2	1	4	2		2		2		1	1	1	3	1	1	1	1	362.428796634786
3066591	235	1	2	6	3	1	1	3	4	2		2		2		1	3	2	1	2	2	2	2	1	2	1	1	5	4	4	4	0	2		1	4								1	2	1	2	1	3	1	2	1	1	2		2		1	2	193.284785502344
3066592	235	1	3	6	3	2	1	2	0	2		2		2		2		2	1	2	2	2	2	2	2	2	1	3	1	1	0	1	2		2									1	3	2		1	2	1	1	1	1	1	1	2		2		132.598840486552
3066593	235	1	2	5	3	1	1	4	0	2		2		1	5	2		2	2	2	2	2	2	2	1	1	1	2	2	2	2	0	1	4	1	4								2		2		1	2	1	1	1	1	1	1	2		2		300.069830533599
