DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	P6008	P6007	P6007S1	FEX_P
366777840	234	1	2	1	1	1371.2537572972
366776880	234	1	2	2		1751.42779501233
366878400	234	1	2	2		2321.06385442906
366789960	234	1	5	2		1997.27765939861
366870480	234	1	4	2		435.493506493506
366931920	234	1	5	2		681.979516591557
366875280	234	1	1			446.794194614615
366836760	234	1	7	2		2388.5588740604
366808080	234	1	4	2		1548.31669008255
366967080	234	1	5	2		1527.05701767747
366938760	234	1	4	2		1046.45052329102
366948600	234	1	6	2		1457.86881120961
366847560	234	1	2	2		2541.32557147514
366847560	234	2	4	2		2541.32557147514
366847560	234	3	1			2541.32557147514
366872040	234	1	5	2		1092.21094425793
366912000	234	1	5	2		1747.41867249519
366902280	234	1	3	2		855.967432318851
366933840	234	1	1			1089.44309401007
366827040	234	1	4	2		170.105533814676
366806880	234	1	1			1604.34203436632
366940320	234	1	3	2		1187.95664716261
366958200	234	1	5	2		154.547261465357
366786360	234	1	3	2		1207.83926364352
366778800	234	1	6	2		1631.65958597945
366869880	234	1	1			1130.94817484067
366947520	234	1	2	2		968.507698717318
366813120	234	1	1			1536.63454643742
366868800	234	1	1			1130.94817484067
366859560	234	1	3	2		1573.49587043055
366894840	234	1	2	2		3718.48902076501
366951600	234	1	4	2		168.583112377949
366821880	234	1	4	2		1439.99511375346
366884760	234	1	5	2		3075.94587940546
