DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P6020	P5785	P5465	P5501	P6070	P6160	P6170	P260	P261	FEX_P
366626880	235	1	2	2	52	6	2	2	1	2	3	5	1828.09182734481
366626880	235	1	3	1	12	1	3	6	1	1	4	1	1828.09182734481
366626880	235	1	4	2	33	6	3	4	1	2	6	2	1828.09182734481
366626880	235	1	5	2	6								1828.09182734481
366606000	235	1	1	2	33	6	1	1	1	2	5	2	676.27570599398
366606000	235	1	2	1	37	6	2	1	1	2	5	2	676.27570599398
366606000	235	1	3	1	16	6	3	6	1	1	5	1	676.27570599398
366606000	235	1	4	1	12	6	3	6	1	1	3	5	676.27570599398
366608280	235	1	1	2	76	6	1	5	1	2	3	5	543.370986537154
366614280	235	1	1	2	40	5	1	4	1	2	6	5	424.444596912534
366614280	235	1	2	2	11								424.444596912534
366614280	235	1	3	2	2								424.444596912534
366614280	235	1	4	1	23	5	5	6	1	1	6	0	424.444596912534
366614280	235	1	5	2	30	5	5	6	1	2	6	5	424.444596912534
366614280	235	1	6	2	13	5	5	6	1	1	4	0	424.444596912534
366606600	235	1	1	1	75	5	1	5	1	2	3	5	918.758439182209
366606600	235	1	2	1	48	6	3	6	1	2	6	2	918.758439182209
366613680	235	1	1	2	38	5	1	5	1	2	5	2	400.463121783876
366604800	235	1	1	2	53	6	1	5	1	2	5	2	1723.13457261399
366604800	235	1	2	2	31	6	3	6	1	2	6	5	1723.13457261399
366606120	235	1	1	2	61	6	1	4	1	2	3	5	502.410838741092
366606120	235	2	1	1	47	1	1	4	1	2	4	2	502.410838741092
366606120	235	1	2	2	23	1	3	1	1	2	6	3	502.410838741092
366606120	235	2	2	1	12	1	3	6	1	1	3	3	502.410838741092
366610800	235	1	1	1	75	5	1	1	2	2	1	1	320.370497427101
366610800	235	1	2	2	71	5	2	1	2	2	1	1	320.370497427101
366610800	235	1	3	2	16	1	3	6	1	1	4	2	320.370497427101
366611280	235	1	1	1	36	5	1	1	1	1	5	1	320.370497427101
366611280	235	1	2	2	35	5	2	1	1	2	4	4	320.370497427101
366611280	235	1	3	1	4								320.370497427101
366611280	235	1	4	2	1								320.370497427101
366611280	235	1	5	2	24	5	5	6	1	1	5	1	320.370497427101
366608400	235	1	1	1	52	6	1	6	1	1	3	5	1102.00101700209
366608400	235	1	2	1	26	6	3	6	1	2	5	2	1102.00101700209
366608400	235	1	3	2	22	6	3	6	1	2	5	2	1102.00101700209
366608400	235	1	4	2	28	6	3	6	1	2	5	2	1102.00101700209
366608400	235	1	5	2	9								1102.00101700209
366608400	235	1	6	1	3								1102.00101700209
366608400	235	1	7	2	22	6	3	6	1	2	5	2	1102.00101700209
366608400	235	1	8	1	1								1102.00101700209
366606240	235	1	1	1	49	6	1	3	1	2	3	5	548.733466527924
366606240	235	1	2	2	47	6	2	3	1	2	3	5	548.733466527924
366606240	235	1	3	2	23	6	3	6	1	1	6	2	548.733466527924
366606240	235	1	4	2	20	6	3	6	1	1	6	0	548.733466527924
366606240	235	1	5	1	10								548.733466527924
366610440	235	1	1	2	76	5	1	5	2	2	1	1	320.370497427101
366605880	235	1	1	2	52	7	1	6	1	2	5	2	420.922743730678
366605880	235	2	1	2	20	6	1	1	1	2	6	3	420.922743730678
366605880	235	1	2	2	21	6	3	6	1	2	6	2	420.922743730678
366609600	235	1	1	2	63	5	1	4	2	2	1	1	320.370497427101
366609600	235	1	2	2	17	5	3	2	1	1	5	1	320.370497427101
366609600	235	1	3	1	21	5	5	2	1	1	5	1	320.370497427101
366609600	235	1	4	1	1								320.370497427101
366609480	235	1	1	2	22	5	1	2	1	2	3	2	1473.70428816466
366609480	235	1	2	1	26	5	2	2	1	2	3	3	1473.70428816466
366609480	235	1	3	2	7								1473.70428816466
366609480	235	1	4	2	4								1473.70428816466
366614160	235	1	1	1	40	7	1	1	1	1	5	2	1842.13036020583
366614160	235	1	2	2	34	5	2	1	1	2	4	4	1842.13036020583
366614160	235	1	3	2	6								1842.13036020583
366614160	235	1	4	2	0								1842.13036020583
366606360	235	1	1	1	26	7	1	6	1	2	3	5	717.235853790042
366609240	235	1	1	1	27	6	1	2	1	1	6	1	729.758143075007
366609240	235	1	2	2	24	6	2	2	1	1	6	5	729.758143075007
366609240	235	1	3	1	5								729.758143075007
366605040	235	1	1	1	68	7	1	3	1	2	6	4	1777.37399024947
366605040	235	2	1	1	62	6	1	5	1	2	5	2	1777.37399024947
366605040	235	1	2	2	46	5	2	3	1	2	3	5	1777.37399024947
366605040	235	1	3	2	21	6	3	6	1	1	6	2	1777.37399024947
366605040	235	1	4	1	17	6	3	6	1	2	4	4	1777.37399024947
366605040	235	1	5	2	15	6	3	6	1	2	4	2	1777.37399024947
366614040	235	1	1	1	46	7	1	2	1	2	5	2	400.463121783876
366614040	235	1	2	2	47	7	2	2	1	2	4	2	400.463121783876
366611760	235	1	1	2	32	5	1	6	1	2	6	1	320.370497427101
366611760	235	1	2	1	27	5	5	6	1	1	6	2	320.370497427101
366611760	235	1	3	1	23	5	5	6	1	1	6	4	320.370497427101
366611760	235	1	4	1	20	5	5	6	1	2	5	2	320.370497427101
366614400	235	1	1	2	32	5	1	6	1	2	6	5	320.370497427101
366609720	235	1	1	2	32	5	1	2	1	2	5	2	1166.90303030303
366609720	235	1	2	1	30	5	2	2	1	2	6	5	1166.90303030303
366609720	235	1	3	2	12	5	3	6	1	1	4	1	1166.90303030303
366609720	235	1	4	1	10								1166.90303030303
366605640	235	1	1	2	57	7	1	6	1	2	4	4	543.370986537154
366605160	235	1	1	2	45	7	1	3	1	2	5	2	2216.70347692134
366605160	235	1	2	1	42	6	2	3	1	2	5	3	2216.70347692134
366609120	235	1	1	1	44	6	1	3	1	2	6	3	651.49961075524
366609120	235	1	2	1	45	6	2	3	1	2	6	5	651.49961075524
366609120	235	1	3	2	12	7	3	6	1	1	4	1	651.49961075524
366611640	235	1	1	2	64	5	1	2	1	2	5	2	1473.70428816466
366667560	235	1	1	2	51	6	1	6	1	2	4	1	193.36631136378
366667560	235	1	2	2	7								193.36631136378
366645000	235	1	1	1	56	6	1	2	1	2	4	4	622.625959939917
366645000	235	1	2	2	56	6	2	2	1	2	3	5	622.625959939917
366645000	235	1	3	1	27	6	3	6	1	2	6	5	622.625959939917
366645000	235	1	4	2	2								622.625959939917
366630000	235	1	1	2	43	7	1	3	1	2	5	2	728.087030851604
366630000	235	1	2	1	8								728.087030851604
366643800	235	1	1	1	62	8	1	3	1	2	6	6	622.625959939917
366643800	235	1	2	2	59	6	2	3	1	2	6	2	622.625959939917
366643800	235	1	3	1	29	6	3	6	1	1	7	1	622.625959939917
366634680	235	1	1	1	38	6	1	4	1	2	6	5	799.663995951191
366634680	235	1	2	1	20	6	3	6	1	1	6	2	799.663995951191
366647040	235	1	1	1	49	6	1	3	1	1	3	4	1206.74436501742
366647040	235	1	2	2	44	6	2	3	1	2	5	2	1206.74436501742
366647040	235	1	3	2	18	6	3	6	1	1	4	0	1206.74436501742
366647040	235	1	4	2	16	6	3	6	1	1	4	1	1206.74436501742
366647040	235	1	5	1	15	6	3	6	1	2	3	5	1206.74436501742
366647040	235	1	6	2	1								1206.74436501742
366646560	235	1	1	2	33	1	1	6	2	2	1	1	1137.60629060134
366646560	235	1	2	1	7								1137.60629060134
366635760	235	1	1	1	76	7	1	2	1	2	1	1	456.358760576572
366635760	235	1	2	2	59	7	2	2	1	2	3	5	456.358760576572
366657360	235	1	1	1	50	7	1	2	1	2	7	6	2285.62192994704
366657360	235	1	2	2	43	7	2	1	1	2	6	5	2285.62192994704
366657360	235	1	3	1	14	7	3	6	1	1	4	3	2285.62192994704
366657360	235	1	4	2	9								2285.62192994704
366657360	235	1	5	1	8								2285.62192994704
366667800	235	1	1	1	32	7	1	2	1	2	6	3	204.199254242211
366667800	235	1	2	2	30	7	2	2	1	2	5	2	204.199254242211
366667800	235	1	3	2	8								204.199254242211
366667800	235	1	4	1	1								204.199254242211
366640200	235	1	1	1	37	6	1	3	1	2	5	2	737.272069707241
366640200	235	1	2	2	33	6	2	3	1	1	6	4	737.272069707241
366640200	235	1	3	1	3								737.272069707241
366654480	235	1	1	1	30	6	1	2	1	2	3	5	185.635685674737
366654480	235	1	2	2	25	7	2	2	1	2	3	2	185.635685674737
366654480	235	1	3	2	5								185.635685674737
366654480	235	1	4	1	2								185.635685674737
366654480	235	1	5	1	0								185.635685674737
366660480	235	1	1	1	57	7	1	3	1	2	6	1	136.883306061813
366660480	235	1	2	2	46	6	2	3	1	2	6	5	136.883306061813
366660480	235	1	3	1	31	7	3	3	1	1	6	1	136.883306061813
366660480	235	1	4	2	16	6	3	6	1	1	4	4	136.883306061813
366660480	235	1	5	1	27	1	9	6	1	1	5	4	136.883306061813
366642600	235	1	1	1	37	6	1	3	1	2	6	2	1431.12730444165
366642600	235	1	2	2	34	6	2	3	1	2	6	3	1431.12730444165
366642600	235	1	3	1	9								1431.12730444165
366642600	235	1	4	1	5								1431.12730444165
366642600	235	1	5	2	53	6	5	3	1	2	4	2	1431.12730444165
366642600	235	1	6	1	57	6	5	3	1	1	4	3	1431.12730444165
366663600	235	1	1	2	40	6	1	4	1	2	5	1	1666.50598100244
366663600	235	1	2	2	10								1666.50598100244
366642480	235	1	1	2	64	7	1	4	1	2	3	5	2047.52791964464
366642480	235	1	2	1	27	7	3	6	1	2	4	1	2047.52791964464
366642480	235	1	3	1	34	6	3	4	1	2	5	2	2047.52791964464
366642480	235	1	4	1	10								2047.52791964464
366642480	235	1	5	1	9								2047.52791964464
366646440	235	1	1	1	49	8	1	2	1	2	3	5	1265.6610440377
366646440	235	1	2	2	49	99	2	2	1	2	4	1	1265.6610440377
366646440	235	1	3	1	29	99	3	6	1	2	6	2	1265.6610440377
366646440	235	1	4	1	20	99	3	6	1	2	4	4	1265.6610440377
366646440	235	1	5	2	14	99	3	6	1	1	4	3	1265.6610440377
366647040	235	1	7	1	1								1206.74436501742
366591000	235	1	1	1	57	6	1	3	1	2	7	1	776.878319083121
366591000	235	1	2	2	47	6	2	3	1	2	6	6	776.878319083121
366591000	235	1	3	1	16	6	3	6	1	1	5	1	776.878319083121
366591000	235	1	4	2	9								776.878319083121
366591000	235	1	5	2	76	6	5	5	1	2	4	4	776.878319083121
366444480	235	1	1	2	36	1	1	6	1	2	3	5	2321.3650623934
366444480	235	1	2	1	18	6	3	6	1	2	5	2	2321.3650623934
366444480	235	1	3	2	16	99	3	6	1	1	4	4	2321.3650623934
366444480	235	1	4	1	11								2321.3650623934
366444480	235	1	5	2	10								2321.3650623934
366489720	235	1	1	1	59	6	1	3	1	2	3	5	998.571134771294
366489720	235	1	2	2	55	6	2	3	1	2	3	4	998.571134771294
366489720	235	1	3	2	14	6	4	6	1	1	4	3	998.571134771294
366483600	235	1	1	1	60	6	1	3	1	2	5	2	1912.56342764661
366483600	235	1	2	2	52	6	2	3	1	2	5	2	1912.56342764661
366483600	235	1	3	2	27	6	3	6	1	2	6	5	1912.56342764661
366577920	235	1	1	2	34	5	1	5	1	1	6	4	320.370497427101
366577920	235	1	2	2	12	5	3	6	1	1	4	2	320.370497427101
366478920	235	1	1	1	42	6	1	4	1	2	5	2	1037.72838555304
366478920	235	1	2	1	21	1	3	6	1	2	4	4	1037.72838555304
366493920	235	1	1	1	71	99	1	2	2	2	1	1	1567.00312314592
366493920	235	1	2	2	57	7	2	2	1	2	3	5	1567.00312314592
366493920	235	1	3	1	22	8	3	6	1	2	4	4	1567.00312314592
366493920	235	1	4	2	16	7	3	6	1	1	5	1	1567.00312314592
366406200	235	1	1	1	43	99	1	3	1	2	7	2	1627.25966265606
366419880	235	1	1	1	31	6	1	6	1	2	6	6	1591.75650378143
366419880	235	1	2	2	58	6	5	4	1	2	5	2	1591.75650378143
366419880	235	1	3	1	24	6	5	6	1	1	6	3	1591.75650378143
366410160	235	1	1	2	62	7	1	5	1	2	5	2	1544.57120126166
