Directorio	Nro_encuesta	Hogarnmero	Personanmero	P5485	P5485s1	P5486	P5486s1	P5487	P5487s1	P5488	P5488s1	P5489	P5489s1	P5490	P5490s1	P5491	P5492s1	P5492s2	P5492s3	P5492s4	P5492s5	P5492s6	P5492s7	P5492s8	P5492s9	P5493	P5494	P5495s1	P5495s2	P5495s3	P5495s4	P5495s5	P5495s6	P5495s7	P5495s8	P5495s9	P5496	P5497	P5497s1a1	P5497s1a2	P5497s1a3	P5497s1a4	P5497s1a5	P5497s1a6	P5497s1a7	P5498	P5498s1	P5499s1	P5499s2	P5499s3	P263	P264	P265	P267	P266	P255s1	P255s2	P255s3	P255s4	P255s5	P268	P256s1	P256s2	P256s3	P256s4	P256s5	P257s1	P257s2	P257s3	P257s4	P257s5	P257s6	Fex_c
304030400	209	1	4	2		2		2		2		2		2		2											2											2								1	3	1	1	2	1	2	1	4		1	1	2	2	2													1302.73435168797
304030600	209	1	3	1	2	1	1	2		2		2		2		2											2											1	2	2	2	2	2	1	2	1	4	1	2	2	1	3	1	2		1	1	1	2	2	2	2	2	1	1	2	1	2	2	2	2	1	1211.23606377746
304030700	209	1	3	1	3	1	1	2		2		2		2		2											2											1	2	2	2	2	2	1	2	2					1	5	1	5		2	1	1	2	2	3	2	2	1	2	2	1	2	2	2	2	1	782.977945059623
304030800	209	1	3	1	1	1	1	1	2	2		2		1	3	1	2	2	1	2	2	2	2	2	2	1	1	2	2	1	1	2	2	2	2	2	1	1	2	2	2	2	2	1	2	1	4	1	1	2	1	3	1	1		1	1	1	2	2	3	2	1	1	2	2	1	1	2	2	2	1	1211.23606377746
304030900	209	1	3	2		2		2		2		2		2		2											2											1	1	2	2	2	2	1	1	1	2	2	1	2	1	3	1	3		1	1	2	2	2	3	1	2	2	1	2	1	2	1	1	1	1	151.363442285729
304031200	209	1	2	2		2		2		2		2		2		2											2											2								2					2		2		1																		224.209854107628
304031200	209	1	3	2		2		2		2		2		2		2											2											2								1	2	1	2	2	2		2		4																		224.209854107628
304031600	209	1	2	1	3	1	2	1	5	2		2		2		2											2											2								2					1	5	2		2																		1208.94870937049
304031600	209	1	3	2		2		2		2		2		2		2											2											2								2					1	3	2		2																		1208.94870937049
304031600	209	1	4	1	3	1	4	2		2		2		2		2											2											2								2					1	5	1	1		1	1	2	2	2													1208.94870937049
304032200	209	1	3	1	1	1	2	2		1	5	2		2		2											2											1	2	2	2	2	1	2	2	2					1	3	1	1		1	1	1	2	2	1	1	1	1	2	2	1	2	2	2	2	1	1263.15197228959
304032400	209	1	6	1	3	1	2	1	2	2		2		2		2											2											1	2	2	2	2	1	1	2	1	5	2	1	2	2		2		2						2	2	2	2	1	2	2	2	2	2	2	1	704.028900162469
304032400	209	1	7	2		2		2		2		2		2		2											2											2								2					1	2	1	1		1	2	2	2	2													704.028900162469
304033200	209	1	4	1	2	1	1	2		2		2		2		2											2											2								2					1	3	1	1		2	1	2	2	2													1546.98271740198
304033200	209	1	5	1	2	1	1	2		2		2		2		2											2											2								2					1	3	1	3		2	1	2	2	2													1546.98271740198
304033600	209	1	5	1	2	2		2		2		2		2		2											2											1	1	2	2	2	2	1	2	1	6	2	1	2	2		1	3		2	1	2	2	2	2	2	2	2	1	2	1	2	1	1	1	1	1030.3710411188
304033600	209	1	6	2		2		2		2		2		2		2											2											2								1	6	2	1	2	2		2		1																		1030.3710411188
304034200	209	1	6	2		1	3	2		2		2		2		2											2											2								2					2		2		1																		686.650746628882
304034300	209	1	3	1	1	1	1	2		2		2		2		2											2											2								2					2		2		2																		1211.23606377746
304035200	209	1	3	2		2		2		2		2		2		2											2											2								2					1	3	1	3		1	1	2	2	2													5428.43769684964
304035600	209	1	5	1	2	2		2		2		2		1	5	2											2											1	1	2	2	2	2	1	1	1	1	1	1	1	1	4	1	2		1	1	2	2	2	3	2	1	2	2	2	2	2	1	2	2	1	4344.66966326487
304036500	209	1	5	1	2	2		2		2		2		2		2											2											1	1	1	2	2	2	1	1	2					2		1	5		1	2	2	2	2	2	2	1	2	2	2	1	2	1	2	1	1	3478.09163297326
304036500	209	1	6	2		2		2		2		2		2		2											2											1	1	2	2	2	2	1	1	2					1	2	2		2						1	2	1	2	2	2	1	2	1	1	1	1	3478.09163297326
304036500	209	1	7	1	5	2		2		2		2		2		2											2											1	1	2	2	2	2	1	1	2					1	3	1	4		1	2	2	2	2	1	2	1	2	2	2	2	2	1	2	1	1	3478.09163297326
304036800	209	1	3	2		2		2		2		2		2		2											2											2								1	3	2	1	2	1	3	2		2																		5464.74922995251
304036800	209	1	4	2		2		2		2		2		2		2											2											2								1	3	2	1	2	1	3	2		2																		5464.74922995251
304037700	209	1	3	2		2		2		2		2		2		2											2											1	2	2	2	2	2	1	2	1	1	1	1	1	1	3	1	2		2	1	2	2	2	3	2	1	2	1	2	2	2	2	2	2	1	241.965316926329
304037800	209	1	4	1	3	2		2		2		2		2		2											2											2								1	4	1	1	2	1	5	1	2		2	1	2	2	2													259.96619053071
304037800	209	1	5	1	5	2		2		2		2		2		2											2											2								1	2	1	1	2	2		2		2																		259.96619053071
304038300	209	1	3	1	3	2		2		1	5	2		2		2											1	2	1	2	2	2	2	2	2	2	2	2								1	3	2	1	2	1	3	1	3		1	1	2	2	2													6608.35102040816
304038800	209	1	3	2		2		2		1	2	2		2		2											2											1	1	2	1	2	1	1	1	1	1	1	1	2	1	3	1	2		1	1	2	2	2	1	2	1	2	2	2	1	1	1	1	2	1	1883.54446983033
304039300	209	1	5	1	2	2		2		1	5	2		2		1	2	2	2	2	2	2	2	1	2	2	2											1	2	2	2	2	2	2	2	1	2	1	1	2	1	2	2		1						2	2	1	2	2	2	2	2	2	2	2	1	893.020408163265
304039400	209	1	4	1	1	2		2		2		2		2		1	2	2	1	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	1	2	2	1	2	1	1	2		1						1	2	1	1	2	2	1	2	1	2	2	2	893.020408163265
304039600	209	1	3	2		2		2		2		2		2		2											2											1	1	2	2	2	2	2	2	2					2		1	2		1	1	2	2	2	2	2	2	2	1	2	1	2	1	2	1	1	1794.53955735343
304039700	209	1	6	2		2		2		2		2		2		2											2											2								2					2		2		5																		617.196765498657
304039800	209	1	5	2		2		2		2		2		2		2											2											1	1	1	2	2	1	1	1	2					1	5	1	2		2	1	2	2	2	1	2	1	2	2	2	1	2	1	2	1	1	617.196765498657
304039900	209	1	5	2		2		2		1	5	2		1	5	2											2											1	1	1	2	2	2	2	2	2					1	3	1	3		1	1	2	2	2	2	1	1	2	2	2	1	2	1	2	1	1	2598.9734532955
304040000	209	1	3	2		2		2		1	4	2		2		2											2											1	1	2	2	2	2	2	2	1	4	2	1	2	1	2	1	3		1	2	2	2	2	2	1	1	2	2	2	1	2	1	2	1	1	2094.22974075492
304040000	209	1	4	2		1	5	2		2		2		1	5	2											2											1	1	2	2	2	2	2	2	2					1	3	1	2		1	1	2	2	2	1	1	1	2	2	2	1	1	1	2	1	1	2094.22974075492
304040100	209	1	4	2		2		2		2		2		2		2											2											1	1	2	2	2	2	2	2	2					2		1	3		1	1	2	2	2	2	1	2	2	1	2	1	2	1	2	1	1	1644.99459424065
304040400	209	1	4	2		2		2		2		2		2		1	2	2	1	1	1	2	1	1	2	2	1	2	2	2	1	1	2	1	1	2	2	2								1	1	1	1	2	1	5	1	2		1	2	2	2	2													951.172193198545
304040400	209	1	5	2		2		2		2		2		2		2											2											2								1	2	1	1	2	1	3	1	2		1	1	2	2	2													951.172193198545
304040500	209	2	3	1	4	2		2		2		2		2		2											1	2	2	1	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	1	1	2	1	3	2		2						2	2	2	2	1	2	1	2	2	1	1	1	1388.70170826755
304040600	209	1	3	2		2		2		2		2		2		2											2											1	2	2	2	2	2	1	2	1	2	1	1	2	1	3	1	2		1	2	2	2	2	3	2	1	2	2	2	2	2	2	2	2	1	824.753294882483
304040600	209	1	4	2		2		2		2		2		2		2											2											2								1	2	1	1	2	1	3	2		1																		824.753294882483
304040800	209	2	2	1	2	2		2		2		2		2		2											2											2								2					2		1	3		1	1	2	2	2													984.147986400249
304040800	209	2	3	2		2		2		2		2		2		2											2											2								2					1	3	2		1																		984.147986400249
304040900	209	1	4	2		2		2		2		2		2		2											2											2								1	2	1	1	2	2		1	2		1	2	2	2	2													1324.53356202639
304041100	209	1	2	1	1	2		2		2		2		2		2											2											1	2	2	2	2	2	2	2	1	3	1	1	2	1	3	1	1		1	1	2	2	2	2	2	1	2	2	2	1	2	2	2	2	1	1190.72982749255
304041300	209	1	3	2		2		2		2		2		2		2											2											1	1	2	2	2	2	1	2	1	3	1	1	2	2		1	2		2	1	2	2	2	4	2	2	2	1	2	1	2	1	2	2	1	1357.5093552281
304041800	209	1	5	2		2		2		2		2		2		2											2											2								1	1	1	1	1	2		2		5																		1244.24632165177
304041800	209	1	6	2		2		2		2		2		2		2											2											2								1	1	1	1	1	2		2		2																		1244.24632165177
304042700	209	1	5	1	1	1	2	1	5	2		2		2		2											1	2	2	2	2	1	2	1	1	2	2	2								1	1	1	1	1	1	5	1	2		1	1	2	2	2													1494.1363074303
304043200	209	1	2	2		1	5	2		2		2		2		2											2											2								1	3	2	1	2	1	3	99																				1040.48415027008
304043300	209	1	4	2		2		2		2		2		2		2											2											1	2	2	2	2	2	2	2	2					2		2		2						5	1	2	2	2	2	2	2	1	2	2	1	954.836742508954
304043400	209	1	3	1	2	2		2		2		2		2		2											2											2								2					2		1	1		1	1	2	2	2													1620.66721251778
304043500	209	1	4	2		2		2		2		2		2		2											2											1	2	2	2	2	2	1	2	2					1	2	2		5						3	2	2	2	1	2	2	2	2	2	2	1	1498.04540927193
304043800	209	1	5	2		2		2		2		2		2		2											1	2	2	1	2	1	2	2	2	2	2	1	1	2	2	2	2	1	2	1	2	1	1	2	1	1	1	2		1	1	2	2	2	3	2	1	2	2	2	2	2	1	2	2	1	1016.06233681026
304043900	209	1	4	1	5	2		2		1	5	1	5	2		1	2	2	1	2	2	2	2	1	2	1	1	2	2	1	2	2	2	2	1	2	2	1	1	2	2	2	2	1	1	1	2	2	1	2	2		2		2						1	2	2	2	1	2	1	2	1	2	1	1	731.194274883364
304043900	209	1	5	2		2		2		2		2		2		1	2	2	2	2	2	2	2	1	2	2	2											1	1	2	2	2	2	1	2	2					1	3	2		99						2	2	2	2	1	2	2	2	1	2	2	1	731.194274883364
304044100	209	1	5	2		1	2	2		2		2		2		2											1	2	1	2	2	2	2	2	2	2	1	1	2	1	2	2	2	1	2	1	4	1	2	2	1	4	1	3		1	1	2	2	2	3	2	2	2	1	2	1	2	1	2	2	2	1259.28048443396
304044100	209	1	6	2		1	2	2		2		2		2		2											1	2	1	2	2	2	2	2	2	2	2	1	2	1	2	2	2	1	2	1	4	1	2	2	1	3	1	3		1	1	2	2	2	3	2	2	2	1	2	1	2	1	2	2	2	1259.28048443396
304044400	209	1	4	1	1	2		2		2		2		2		2											1	2	2	2	2	2	2	2	1	2	2	2								1	1	2	1	2	1	5	2		2																		744.252274295739
304044400	209	1	5	2		2		2		2		2		2		2											1	2	2	2	2	2	2	2	1	2	2	2								1	1	2	1	2	1	5	2		1																		744.252274295739
304044400	209	1	6	2		2		2		2		2		2		2											2											2								1	1	2	1	2	1	5	2		1																		744.252274295739
304044500	209	1	6	1	2	2		2		2		2		2		2											2											1	2	2	2	1	1	1	2	1	2	1	1	2	1	3	1	3		1	1	2	2	2	2	2	1	2	2	2	1	1	2	1	1	1	723.623878818434
304044600	209	1	3	1	1	2		2		2		2		2		2											2											2								1	2	2	1	2	1	3	2		2																		855.982418916641
304044900	209	1	4	1	2	1	5	2		1	5	2		2		1	2	2	1	2	2	2	2	2	2	2	2											1	2	2	2	1	2	2	2	1	2	2	1	2	1	3	1	3		1	1	2	2	2	1	1	1	1	2	2	1	1	2	1	1	1	1009.55231345325
304045000	209	1	3	2		2		2		2		1	5	2		2											1	2	1	2	2	2	1	1	2	2	1	1	2	2	2	2	1	1	2	1	3	1	1	1	1	3	1	1		1	1	2	1	2	1	1	1	2	2	2	2	1	1	2	2	2	535.419709677882
304045000	209	1	4	2		2		2		2		2		2		2											2											1	2	2	2	2	1	2	2	1	2	1	2	2	1	2	2		1						1	2	1	2	2	2	2	2	2	2	2	1	535.419709677882
304045200	209	1	4	1	2	2		1	1	1	5	1	5	2		1	2	1	1	2	2	2	2	2	2	2	2											1	2	1	1	1	1	1	1	1	2	2	1	2	2		1	3		1	1	1	2	2	2	1	1	2	2	2	1	1	1	1	1	1	460.62663015552
304045700	209	1	3	1	1	2		2		1	4	2		1	5	2											2											1	1	2	2	2	2	1	1	1	2	2	1	2	2		1	2		1	2	2	2	2	1	2	1	2	2	2	1	2	1	1	1	1	562.759021463978
304046200	209	1	5	2		2		1	2	2		2		1	1	2											2											1	2	1	1	2	2	1	1	2					2		1	2		1	1	2	2	2	2	2	1	2	1	2	1	2	1	1	1	1	1999.71880137028
304046300	209	1	3	2		2		2		2		2		2		2											2											2								1	1	2	1	2	1	3	1	2		1	1	2	2	2													1525.07858886256
304046900	209	1	2	2		2		2		2		2		2		2											2											1	2	2	2	2	2	1	1	2					2		1	2		2	1	2	2	2	2	1	1	2	2	2	1	2	1	1	1	1	1343.44732616586
304047000	209	1	5	2		2		2		2		2		2		2											1	2	2	1	2	2	2	2	1	2	2	1	1	1	2	2	2	1	1	1	6	2	1	2	2		1	2		1	1	2	1	2	1	2	1	2	2	2	1	2	1	1	1	1	1711.71428787945
304047000	209	1	6	2		2		2		2		2		2		2											2											1	1	2	2	2	1	1	2	2					1	2	1	3		1	2	2	2	2	1	2	1	2	2	2	2	2	1	1	1	1	1711.71428787945
304047700	209	1	2	2		2		2		2		2		2		2											2											1	1	2	2	2	2	2	2	1	3	2	1	2	1	3	1	3		1	1	2	2	2	3	2	1	2	2	2	2	2	1	2	2	2	2600.42600289181
304047700	209	1	3	2		2		2		2		2		2		2											2											2								2					1	3	2		5																		2600.42600289181
304048100	209	1	2	1	1	2		2		2		2		2		2											2											1	1	1	2	2	1	2	2	2					1	5	1	3		2	1	2	2	2	1	1	1	2	2	2	1	1	1	1	2	2	1651.16696853709
304048100	209	1	3	1	2	2		2		2		2		2		2											2											2								2					1	5	1	2		1	1	2	2	2													1651.16696853709
304048500	209	1	4	1	2	2		2		2		2		2		1	2	2	2	2	2	2	1	1	2	2	2											1	1	2	1	2	2	1	1	1	2	2	1	2	1	2	1	2		1	1	1	2	2	2	2	1	2	2	2	1	2	1	2	2	1	534.660974688608
304048700	209	1	3	2		2		2		1	5	1	5	1	5	1	2	2	1	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	1	1	2	2	2	2	1	1	1	2	1	1	2	1	3	1	3		1	1	2	2	2	3	2	1	2	2	2	2	2	1	2	2	1	524.42429955101
304049400	209	1	3	2		1	5	1	5	2		2		1	5	2											2											1	2	2	2	2	2	1	1	1	1	2	1	2	1	2	1	4		1	2	2	2	2	3	2	1	2	2	2	1	2	1	2	2	1	555.575843238506
304049600	209	1	4	1	2	2		2		2		2		1	4	2											1	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	1	2	2	1	2	2		1	3		1	1	2	2	2	2	1	2	2	2	2	1	2	2	1	1	1	516.388670572652
304049600	209	1	5	1	3	2		2		2		2		1	4	2											1	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	1	1	2	1	1	2	1	2	2		1	2		1	1	2	2	2	4	2	2	2	2	1	1	1	2	2	2	1	516.388670572652
304050200	209	1	4	1	2	1	3	1	2	2		1	3	1	4	1	2	1	2	1	1	1	2	2	2	2	2											1	2	2	2	2	2	1	1	1	2	1	1	2	1	3	1	4		1	1	2	2	2	1	2	1	2	2	2	2	2	1	2	2	1	565.812518376103
304051000	209	1	4	2		2		2		2		2		1	5	1	2	2	2	2	1	2	2	2	2	2	2											2								1	1	1	1	2	1	3	2		1																		765.705293791246
304053300	209	1	3	2		2		2		2		2		2		2											2											1	1	2	2	2	1	2	1	1	2	1	1	2	1	3	1	2		2	1	2	2	2	2	2	2	2	1	2	1	1	2	2	2	2	1263.8058557134
304053500	209	1	3	2		2		2		2		2		2		2											2											1	2	2	2	1	2	1	2	1	2	1	1	1	2		1	2		1	1	2	1	2	2	2	2	2	1	2	1	2	2	2	2	1	1300.10915572193
304053600	209	1	4	2		2		2		2		2		2		2											2											1	2	2	2	2	2	1	2	1	2	1	1	2	2		1	2		1	1	2	2	2	1	2	1	2	2	2	2	2	2	2	2	1	1397.96863726635
304053700	209	1	2	2		2		2		1	5	2		2		2											2											2								2					1	4	1	2		1	1	2	1	2													1305.08855950606
304054000	209	1	3	2		2		2		2		2		2		2											2											2								2					1	2	2		99																		1434.27193727488
304054300	209	1	5	2		2		2		2		2		2		1	2	2	2	2	2	2	2	1	2	1	1	2	2	2	2	2	2	2	1	2	2	2								1	1	1	1	1	2		1	2		2	1	2	2	2													1361.66533725782
304054400	209	1	3	2		1	4	1	5	2		2		1	5	2											2											2								1	2	1	1	1	1	3	2		1																		1300.10915572193
304054500	209	1	4	2		2		2		2		2		2		2											2											2								1	1	1	1	2	2		2		1																		1108.93636538451
304054500	209	1	5	2		2		2		2		2		2		2											2											2								1	1	1	1	2	2		2		4																		1108.93636538451
304054500	209	1	6	2		2		2		2		2		2		2											2											2								1	1	1	1	1	2		2		4																		1108.93636538451
304054600	209	1	3	2		1	5	1	5	2		2		2		2											2											1	1	2	2	2	2	1	2	1	1	1	1	1	1	2	1	2		1	1	2	2	2	3	2	2	2	1	2	1	2	2	2	1	1	1346.15464778235
304054600	209	1	4	2		2		2		2		2		2		2											2											2								1	1	1	1	1	1	2	2		1																		1346.15464778235
304055100	209	1	3	1	1	2		2		2		2		2		2											2											1	2	1	2	2	2	1	2	1	1	1	1	2	1	3	1	1		1	1	2	2	2	3	2	2	2	1	2	1	2	1	2	2	1	1341.39185951459
304055300	209	1	3	1	1	2		2		1	4	2		2		2											2											1	2	2	2	2	2	2	2	1	2	1	1	2	1	3	1	3		1	2	2	2	2	2	2	2	2	1	2	1	1	2	1	1	2	1004.98362158374
304055300	209	1	4	1	1	2		2		1	3	2		2		2											2											1	2	2	2	1	2	2	2	1	2	1	1	2	1	3	1	2		1	1	2	2	2	2	1	2	2	1	2	1	2	1	2	2	1	1004.98362158374
304055900	209	1	3	1	1	1	2	2		2		2		2		2											1	2	1	1	2	1	2	2	2	2	2	2								1	2	1	1	2	1	2	99																				205.235793928133
304056000	209	1	5	2		2		2		2		2		2		2											2											2								2					1	3	2		5																		224.459362766874
304056100	209	1	4	2		2		2		2		2		2		2											2											1	2	2	2	2	2	2	2	2					1	4	2		2						3	2	2	2	1	2	1	2	2	2	2	2	154.498970045959
304056300	209	1	3	1	2	1	2	2		2		2		2		2											2											1	2	2	2	1	2	2	2	1	2	1	2	2	1	3	1	2		2	1	1	2	2	3	2	2	2	1	2	1	2	2	2	2	2	194.348427461106
304056500	209	1	4	2		2		2		2		2		2		2											2											2								1	1	1	1	2	1	3	1	1		1	1	2	2	2													159.541342643097
304056700	209	1	6	1	2	2		1	2	2		1	5	1	4	2											1	2	1	2	2	2	2	2	2	2	2	1	1	2	2	2	2	1	1	1	1	2	1	2	1	5	2		2						2	2	1	2	2	2	1	2	1	2	1	1	1018.1866501854
304056700	209	1	7	1	2	2		2		2		2		2		1	2	1	1	2	1	2	2	1	2	2	1	2	2	1	2	1	2	2	1	2	2	1	1	2	1	2	2	1	1	1	1	1	1	2	1	3	1	1		1	1	1	2	2	3	2	1	2	2	2	1	2	1	2	2	1	1018.1866501854
304056700	209	1	10	2		2		2		2		2		2		2											1	2	2	2	2	1	2	2	1	2	2	1	2	2	2	2	2	1	1	1	1	1	1	2	2		1	2		1	1	2	2	2	3	2	1	2	2	2	2	2	1	2	2	1	1018.1866501854
304057000	209	1	3	2		2		2		2		2		2		2											1	2	2	2	1	2	2	2	1	2	2	1	2	2	2	2	1	2	2	1	2	1	1	2	1	1	1	2		1	2	2	2	2	4	2	2	2	1	2	1	2	2	2	2	1	480.626431781071
304058100	209	2	3	1	4	2		2		2		2		1	3	2											1	2	1	1	2	1	2	1	1	2	2	2								1	2	1	1	2	1	3	1	3		1	1	2	2	2													701.363888854002
304058100	209	2	4	1	4	2		2		1	5	2		1	3	1	2	1	1	1	1	2	1	1	2	2	2											2								1	1	1	1	2	1	3	1	3		1	1	2	2	2													701.363888854002
304058100	209	2	5	1	2	2		2		2		2		1	3	1	2	2	1	2	2	2	2	2	2	2	1	2	2	2	1	2	1	2	1	2	2	2								1	1	1	1	2	1	3	1	3		1	1	2	2	2													701.363888854002
304058500	209	1	4	1	1	2		2		1	5	2		2		2											1	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	1	1	2	1	2	1	3	2		3						3	1	2	2	2	2	1	2	2	2	2	2	813.672129187079
304058500	209	1	5	2		2		2		1	4	2		2		2											2											2								1	2	2	1	2	1	3	2		1																		813.672129187079
304059300	209	1	4	1	5	2		2		1	2	2		1	5	1	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	1	1	1	2	2	2	1	1	1	1	3	1	2	2	1	3	2		2						1	2	2	2	1	2	1	2	1	2	1	1	496.135203203502
304059500	209	1	4	2		2		2		2		2		2		2											2											2								2					2		1	2		1	1	2	2	2													1275.97584169984
304060000	209	1	3	2		2		2		2		2		2		2											2											2								2					1	3	2		99																		1578.90654750822
304060300	209	1	4	2		2		2		2		2		2		2											2											2								2					2		2		2																		1216.98173973912
304060500	209	1	3	2		2		2		2		2		2		2											2											2								2					2		1	2		1	1	2	2	2													1376.37548668312
304060700	209	1	2	2		2		2		2		2		2		2											2											1	2	2	2	2	2	1	2	2					2		2		2						2	1	1	2	2	2	1	2	1	2	2	1	1594.76333558783
304061000	209	1	4	2		2		2		2		2		2		2											2											2								2					2		2		2																		1216.98173973912
304061700	209	1	6	1	2	2		2		2		1	5	2		2											2											2								1	6	2	2	1	1	5	2		1																		2308.49404081352
304061700	209	1	7	2		2		2		2		2		2		2											2											2								2					1	5	2		1																		2308.49404081352
304061800	209	1	5	2		2		2		2		2		2		2											2											2								2					2		2		99																		1057.58799279513
304062200	209	1	2	1	2	1	2	2		2		2		1	5	1	2	1	1	1	2	2	2	2	2	1	1	2	1	1	2	2	2	1	2	2	1	1	1	1	1	2	1	1	1	2					1	3	1	1		1	1	1	2	2	1	2	2	1	1	2	1	1	2	1	1	2	1049.12258050653
304062300	209	1	3	2		2		2		2		2		2		2											2											1	1	2	2	2	2	2	2	1	1	1	2	2	1	2	1	4		1	1	2	2	2	1	2	1	2	2	2	2	2	2	2	1	1	1489.6388956876
304062300	209	1	4	2		2		2		2		2		2		2											2											2								1	2	1	2	2	1	3	1	1		1	2	2	2	2													1489.6388956876
304062400	209	1	3	1	2	2		2		2		2		2		2											2											1	1	1	2	1	2	2	2	2					1	2	1	1		2	1	2	2	2	2	2	1	2	2	2	1	1	2	2	2	2	1435.36958864384
304063500	209	1	2	2		2		2		2		2		2		2											2											1	1	2	2	2	2	2	2	2					1	3	99								3	2	1	2	2	2	2	2	1	2	2	1	1108.11668246724
304063600	209	1	3	2		2		2		2		2		2		2											2											2								2					2		2		2																		1489.6388956876
304063600	209	1	4	2		2		2		2		2		2		2											2											2								2					2		1	2		1	1	2	2	2													1489.6388956876
304065000	209	1	4	1	3	2		2		2		2		2		1	2	2	2	2	1	2	2	2	2	2	2											1	1	2	2	2	2	1	2	1	1	1	1	2	1	5	1	6		1	1	2	2	2	2	2	1	2	2	2	1	2	1	2	2	1	4314.22230275857
304067500	209	1	3	2		2		2		2		2		2		2											2											2								1	2	1	2	2	1	2	2		99																		4188.83415508198
304068500	209	1	3	1	2	1	1	1	1	2		2		2		2											2											2								1	1	1	1	1	1	3	99																				540.015411421479
304068800	209	1	4	2		2		2		1	5	1	5	1	5	2											1	2	1	1	1	1	2	1	1	2	2	2								1	2	1	1	1	1	1	1	2		1	1	2	2	2													1310.88931154482
304069000	209	1	5	1	1	2		2		2		2		2		2											1	2	1	1	2	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	2	1	1	1	2		1	1		1	1	2	2	2	1	1	1	2	2	2	1	1	1	1	1	1	1358.76132794463
304069200	209	1	4	2		2		2		2		2		1	5	2											1	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	1	2	1	1	2	2		2		2						1	1	1	2	2	2	1	2	1	1	1	1	1549.87983994757
304069400	209	1	3	2		2		2		2		2		2		2											1	2	1	2	1	2	1	2	1	2	2	1	1	2	2	2	2	1	2	1	3	1	1	2	1	2	1	2		1	1	2	2	2	2	2	1	2	2	2	1	2	1	2	2	1	1118.51882682535
304069500	209	1	3	2		2		2		2		2		2		2											2											1	1	2	2	2	2	2	1	1	2	2	1	2	1	2	1	3		1	1	2	2	2	3	1	1	2	2	2	1	2	2	2	2	1	1291.55776882469
304069800	209	1	4	2		2		2		2		2		2		2											2											2								1	4	1	1	2	1	3	1	3		1	1	2	2	2													1280.94893122189
304069900	209	1	3	2		1	5	1	4	2		2		1	4	2											2											1	1	2	2	2	1	2	1	1	3	1	2	2	1	3	99								3	2	2	2	2	1	2	1	1	2	2	1	1118.51882682535
304070300	209	1	4	2		2		2		2		2		2		2											2											2								1	2	1	1	1	1	2	1	3		1	1	2	2	2													1549.87983994757
304070400	209	1	3	1	3	2		2		2		2		2		2											1	2	2	1	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	1	3	1	1	2	1	3	2		1						2	1	1	2	2	2	1	2	1	1	1	1	1118.51882682535
304070500	209	1	7	2		2		2		2		2		2		2											2											1	1	2	2	2	2	1	2	1	2	1	1	2	1	3	1	3		1	1	2	2	2	3	2	1	2	2	2	2	2	1	2	1	1	1246.18969785795
304070600	209	1	4	2		2		2		1	4	2		2		2											2											1	2	2	2	2	2	1	2	1	3	1	1	2	1	3	1	3		1	2	2	2	2	3	2	1	2	2	2	2	2	1	2	2	1	1446.55672154298
304071100	209	1	2	2		2		2		1	3	1	5	2		2											2											2								1	2	1	1	2	1	3	1	2		1	2	2	2	2													1667.19281191368
304071600	209	1	2	1	5	1	5	1	5	1	3	1	5	2		1	2	2	2	2	1	2	1	1	2	1	1	2	2	1	2	1	1	1	1	2	1	1	1	2	2	2	2	1	1	1	1	1	1	2	1	3	1	3		1	1	1	2	2	2	1	1	1	2	2	1	2	1	1	1	1	1527.67448710981
304071900	209	1	4	2		2		2		2		2		2		2											2											1	2	2	2	2	2	1	2	1	1	1	1	2	1	2	1	3		1	1	2	2	2	3	2	2	2	1	2	1	2	1	2	2	1	973.469247546376
304072100	209	1	3	2		2		2		2		2		2		2											1	2	2	1	2	2	2	2	2	2	1	1	1	2	2	2	2	1	1	1	1	2	1	2	1	3	2		2						1	1	1	2	2	2	1	1	1	1	1	1	1644.59936357026
304072700	209	1	3	2		2		2		2		1	3	1	5	2											2											1	2	1	2	1	1	1	1	1	3	2	1	2	2		2		2						1	2	1	2	2	2	1	1	1	1	1	1	1586.13692534004
304072800	209	1	7	1	4	2		1	5	1	5	1	3	2		2											1	2	1	1	2	2	2	1	1	2	2	1	2	1	2	2	2	1	1	1	3	2	1	2	1	3	2		2						2	2	1	2	2	2	1	2	1	2	1	1	1819.98667826094
304073000	209	1	4	2		2		2		2		2		1	5	2											2											1	2	2	2	2	2	1	2	1	1	2	1	2	99		99								3	2	1	2	2	2	2	2	2	2	2	1	1212.68295315001
304073400	209	2	6	2		2		2		2		2		2		2											2											2								1	1	2	1	2	99		1	2		1	1	2	2	2													1593.65998287197
