Directorio	Nro_encuesta	Hogarnmero	P5000	P5010	P5090	P201s1	P201s2	P201s3	P201s4	P201s5	P201s6	P201s7	P201s8	P201s9	P201s10	P201s11	P201s12	P201s13	P201s14	P201s15	P201s16	P201s17	P201s18	P201s19	P201s20	P201s21	P201s22	P201s23	P201s24	P201s25	P201s26	P201s27	P5220	P5220s1	P229s1	P229s2	P229s3	P229s4	P230	P231s1	P231s1a1	P231s2	P231s2a1	Fex_c
304134000	208	1	5	3	1	1	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	3					3	1	0	0		813.543861691849
304134100	208	1	4	2	3	1	2	1	1	2	1	1	2	2	1	1	1	2	2	2	1	2	2	2	1	1	1	1	1	1	1	1	1	3						200	0	0		478.576365313325
304134200	208	1	4	2	3	2	2	1	1	1	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	2	1	1	2	7	7	7	3		3	0	0		1412.28435876822
304134300	208	1	3	1	3	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	2						0		0		217.125674299637
304134400	208	1	1	1	3	2	2	1	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1						0		0		557.370588526043
304134500	208	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1						0		0		557.370588526043
304134600	208	1	2	2	1	2	2	1	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1						0		0		314.193970177329
304134700	208	1	1	1	3	2	2	1	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2							6	6	0		497.403399228618
304134800	208	1	2	2	5	2	2	1	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	3	3	3	1		10	5	0		252.167656606704
304134900	208	1	1	1	3	2	2	1	1	1	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2							0		0		557.370588526043
304135000	208	1	3	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1						0		0		217.125674299637
304135100	208	1	2	1	3	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2						1	0	0		314.316970004424
304135200	208	1	1	1	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1						0		0		557.370588526043
304135300	208	1	1	1	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2							0		0		316.376094277623
304135400	208	1	4	3	3	2	2	1	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	1	1	2	2	1	2	3	3	4	1	2	15	7	0		538.237846889564
304135500	208	1	1	1	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1						0		0		308.949984572211
304135600	208	1	1	1	3	2	2	1	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	1	2	2	1	1					7	4	4	0		868.502697198549
304135700	208	1	5	2	4	2	2	1	1	1	1	2	2	2	2	1	1	2	2	1	2	2	2	2	2	1	1	1	1	1	2	1	1	2					4	5	0	0		885.191410971591
304135800	208	1	7	3	1	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1						1	0	1	0	1105.16160198678
304135900	208	1	5	1	3	2	2	1	2	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	2						1	0	0		1219.37969719363
304136000	208	1	5	1	1	1	2	1	1	1	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	1	1	1	2	1	1	3						1	1	0		1345.38731853126
304136100	208	1	7	3	1	1	2	1	1	1	1	2	2	2	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	2	1	1	3					6	20	5	0		1347.46063587446
304136200	208	1	4	1	1	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1						1	1	0		1003.72760764437
304136300	208	1	8	3	1	1	2	1	1	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	1	1	1	2	1	1	2					2	15	15	0		1060.50525799742
304136400	208	1	7	3	1	1	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1						1	0	0		1205.65550308925
304136500	208	1	7	3	1	1	2	1	1	1	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	1	1	1	2	1	1	3					6	2	0	0		1011.92070243541
304136600	208	1	6	2	1	1	2	1	1	1	1	2	2	2	2	1	1	2	2	1	2	2	2	1	2	2	1	1	1	1	2	1	1	2						0		0		1135.15994542741
304136700	208	1	3	3	3	2	2	1	1	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	1	1	1	1	2	2	1	3					2	2	1	0		1043.98607642365
304136800	208	1	4	3	3	2	2	1	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	1	1	2	2	1	1	7	3	1	1		2	2	0		1213.95498074822
304136900	208	1	8	3	1	2	2	1	1	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1	1						1	0	0		911.208378219182
304137000	208	1	2	1	2	2	2	1	1	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2		1	1	1	1	2	1	0	0		1284.45682520565
304137100	208	1	2	1	1	2	2	1	1	1	2	1	2	2	2	1	1	2	1	2	2	2	2	2	2	1	2	1	1	1	2	2	1	2	1	1	4	1		1	0	0		1213.95498074822
304137200	208	1	3	2	1	2	2	1	1	1	2	2	2	2	2	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	2	2	1	7					7	1	0	0		1166.64229865906
304137300	208	1	2	1	1	2	2	1	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	1	2	1	1	2	2	1	2	2	7	1	1	2	5	5	0		1052.28555408261
304137400	208	1	2	1	3	2	2	1	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	1	1	2	2	1	2					4	1	1	0		1180.36649276344
304137500	208	1	3	2	3	2	2	1	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	2	7	7	7	3	2	20	20	0		1288.02664742162
304137600	208	1	4	3	1	1	2	1	1	1	1	2	2	2	2	1	2	2	2	1	2	2	2	2	1	1	1	1	1	1	1	2	1	3						1	0	0		1276.95879141703
304137700	208	1	3	2	1	2	2	1	1	1	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	1	1	1	1	1	2	1	3					4	0		0		1040.64096411702
304137800	208	1	4	3	1	1	2	1	1	1	1	2	2	2	1	1	1	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	5						50	35	0		1334.53788564043
304137900	208	1	4	2	5	2	2	1	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	4					4	10	8	0		1109.86464830601
304138000	208	1	4	2	1	2	2	1	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	3						15	15	0		1339.96260208584
304138100	208	1	2	1	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2		1	2	7	1		25	0	0		1213.95498074822
304138200	208	1	2	1	1	2	2	1	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1						0		0		1150.9511700794
304138300	208	1	3	2	1	2	2	1	1	1	2	2	2	2	2	1	2	2	1	1	2	2	2	2	2	2	2	1	1	1	2	2	1	2					3	50	30	0		1342.03591942904
304138400	208	1	6	1	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	1	2	2	1	2						0		0		709.584524570819
304138500	208	1	3	2	3	2	2	1	2	1	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	1	2	2	1	2						1	0	0		1027.21365607523
304138600	208	1	4	3	2	2	2	1	1	2	2	1	2	2	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	3					7	20	5	0		1759.0054604233
304138700	208	1	3	2	1	2	1	1	1	1	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	1	1	1	2	2	1	3					2	20	20	0		1709.41807253346
304138800	208	1	3	2	1	2	2	1	1	1	2	2	2	2	2	1	1	1	1	2	2	2	1	2	1	2	2	1	1	1	1	2	2							50	30	0		1635.9635221461
304138900	208	1	3	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	1	2					2	20	5	0		1635.56215393344
304139000	208	1	8	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2							0		0		1009.67390717828
304139100	208	1	4	1	4	1	2	1	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2						4	4	0		709.584524570819
304139200	208	1	4	3	3	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	3						15	15	0		1831.94121867931
304139300	208	1	6	3	3	2	2	1	2	1	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	2	1	2					4	5	5	0		1282.78515520353
304139400	208	1	2	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1						20	0	0		1009.67390717828
304139500	208	1	4	1	1	2	2	1	2	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2						1	0	0		813.696210645079
304139600	208	1	2	1	4	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1						0		0		709.584524570819
304139700	208	1	4	2	1	1	2	1	2	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	1	1	1	1	2	1	2						0		0		709.584524570819
304139800	208	1	3	2	1	2	2	1	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1						1	0	0		1436.30682450822
304139900	208	1	3	2	4	2	2	1	1	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	2						30	26	0		1436.30682450822
304140000	208	1	3	2	3	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	1	2						2	0	0		1078.25366902003
304140100	208	1	1	1	3	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	1	1	2	7	7	2		1	0	0		1300.32577123829
304140200	208	1	2	2	1	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1						0		0		1587.59433809882
304140200	208	2	2	2	1	2	1	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	1	1	2	7	7	2		0		0		1587.59433809882
304140300	208	1	2	2	1	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	1	2	2	7	2	1		20	20	0		1325.57865276565
304140500	208	1	4	3	1	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1	1	2	5	1	2	30	23	0		1165.94637416899
304140600	208	1	4	3	1	2	1	1	1	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	1	1	1	1	1	2	1	2	1	2	2	1		40	35	0		1294.01589346557
304140700	208	1	3	1	1	1	2	1	1	1	2	2	2	2	2	1	1	2	2	1	2	2	2	2	2	2	1	1	1	1	2	2	2							0		0		2581.90519887205
304140800	208	1	3	3	1	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	1	4	6	7	7	6	7	0		0		1423.2215187937
304140900	208	1	3	2	3	2	2	1	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	2						10	10	0		1325.57865276565
304141000	208	1	4	3	1	1	2	1	2	1	2	2	2	2	2	1	1	2	1	2	2	2	2	2	2	2	1	1	1	2	2	2	1	2						0		0		1352.50878097191
304141100	208	1	4	2	1	2	2	1	2	1	1	2	2	2	2	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	2	2	1	3					6	20	20	0		1439.251341059
304141200	208	1	4	3	2	1	2	1	1	1	1	1	2	2	1	1	1	1	2	1	2	2	2	1	1	1	1	1	1	1	2	1	1	2					2	250	150	1	1	2290.47933078607
304141400	208	1	4	2	1	1	2	1	1	2	1	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	1	3						62	16	62	16	1294.01589346557
304141500	208	1	3	2	1	2	2	1	1	1	2	2	2	2	2	1	2	1	1	2	2	1	2	2	2	2	2	1	1	1	1	1	1	2						0		0		1496.04473432712
304141600	208	1	4	1	1	2	2	1	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1						0		0		1362.03435750744
304141600	208	2	4	1	1	2	2	2	2	2	2	2	2	1	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2		2	7	2	2	2	0		0		1362.03435750744
304141600	208	3	4	1	1	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2						7	2	2	2	2	1362.03435750744
304141700	208	1	3	2	1	2	2	1	2	1	2	2	1	2	2	1	2	1	2	2	2	1	2	2	2	2	2	1	1	1	2	2	1	1						2	0	0		1361.88195277418
304141800	208	1	2	1	3	2	2	1	1	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	1	2	2	1	1	1	2	2	1	2	2	2	2	1		2	2	0		1398.18525278271
304141900	208	1	4	1	1	1	1	1	1	1	2	2	2	1	1	1	1	2	1	1	2	2	2	2	2	2	1	1	1	1	2	1	1	2						3	1	0		1290.95259943603
304142000	208	1	3	2	1	1	2	1	2	2	1	2	2	2	2	1	1	2	2	2	2	2	2	2	1	1	1	2	1	1	2	2	1	1						1	0	0		1398.18525278271
304142100	208	1	4	3	1	1	2	1	1	1	2	1	1	2	1	1	1	2	2	1	1	2	2	2	2	1	1	1	1	1	1	1	1	4						5	0	0		2648.01863140277
304142200	208	1	5	2	1	2	1	1	1	1	2	1	2	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2						23	5	0		2392.31282384232
304142300	208	1	3	2	1	2	2	1	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2					2	0		0		1263.8058557134
304142400	208	1	5	1	1	2	2	1	1	1	2	1	2	2	2	1	1	2	2	2	1	2	2	2	2	1	1	1	2	1	2	2	1	1						40	12	0		1434.48855279124
304142500	208	1	3	1	1	2	2	1	2	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	1	2						5	5	0		1330.3191934741
304142600	208	1	3	2	1	2	2	1	1	1	2	1	2	2	2	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	2	1	1	2	7	7	4	2	7	5	2	0		1243.31576245381
304142700	208	1	3	2	1	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	3					7	8	8	0		1304.8719439897
304142800	208	1	3	2	1	2	2	1	1	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	4						7	7	0		1423.43813431006
304142900	208	1	4	3	1	2	2	1	1	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	3	7	7	7	3		6	6	0		1352.50878097191
304143000	208	1	3	2	1	2	2	1	1	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	3					7	10	10	0		1363.58144701239
304143100	208	1	4	3	1	2	2	1	1	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	5					4	12	12	0		1218.12938390261
304143200	208	1	3	1	1	1	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2							0		0		2581.90519887205
304143300	208	1	4	3	1	1	2	1	1	1	2	1	2	2	1	1	1	1	2	1	2	2	1	2	1	1	1	1	1	1	1	1	1	4					2	30	30	0		2474.44500039491
304143400	208	1	3	1	1	2	2	1	2	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	2						3	0	0		1398.18525278271
304143500	208	1	2	1	1	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1						10	10	0		1398.18525278271
304143600	208	1	4	3	1	2	2	1	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1						0		0		1254.6492994275
304143700	208	1	3	2	1	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	2	7	7	7	7		100	89	0		1352.50878097191
304143800	208	1	3	2	1	2	2	1	2	1	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2		2	2	2	2	2	10	8	0		1305.08855950606
304143900	208	1	1	1	1	2	2	1	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	1	1	2	2	2	1	2	4	7	7	2	7	2	2	0		1248.07855072158
304144000	208	1	2	2	1	2	2	2	2	1	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	1	1	2	2	1	2	1	7	4	2	7	2	1	0		1361.44872174146
304144100	208	1	3	1	3	2	2	1	1	1	2	2	2	2	2	1	1	2	2	2	2	2	1	2	2	2	1	1	2	1	2	2	1	1						0		0		1434.48855279124
304144200	208	1	3	2	1	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	1	2						10	5	0		1155.11257120417
304144300	208	1	4	3	1	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	2					2	0		0		1035.19365933591
304144400	208	1	3	2	3	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	4	2	2	2	2		3	0	0		1459.74143431859
304144500	208	1	5	4	1	2	2	1	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2		7	7	7	7	7	0		0		1187.70273063407
304144600	208	1	4	3	1	1	2	1	1	1	1	2	2	2	2	1	1	2	2	2	2	2	2	2	2	1	2	1	1	1	2	2	1	1					6	0		0		1476.87645726966
304144700	208	1	3	2	3	2	2	1	1	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	1	1	2	2	1	3	1	1	2	2	2	11	11	11	10	1593.68760035517
304144800	208	1	3	2	1	2	2	1	2	2	2	1	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1						3	0	0		1294.01589346557
304144900	208	1	4	1	1	2	2	1	1	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	1	1	1	1	2	1	1	2	2	1	2	1		4	0	0		1398.18525278271
304145000	208	1	1	1	3	2	2	1	1	1	2	2	2	2	2	1	1	2	2	2	2	2	2	1	1	2	1	1	1	1	2	1	1	3					3	3	2	0		1263.8058557134
304145100	208	1	5	4	1	2	1	1	1	1	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	3					7	50	50	0		1480.38393231145
304145200	208	1	4	3	1	2	2	1	1	1	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	7	7	7	7	7	10	10	0		1595.60371010975
304145300	208	1	3	1	3	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2							1	0	0		1434.48855279124
304145400	208	1	4	3	1	1	2	1	1	2	1	1	2	2	2	1	1	2	1	2	2	1	2	2	1	1	1	1	1	1	2	2	1	4						30	10	0		86.1123705918755
304145500	208	1	3	1	1	2	2	1	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1						0		0		109.62818079437
304145600	208	1	4	1	4	2	2	1	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2		7	7	7	3	3	1	0	0		203.438857895756
304145700	208	1	3	2	3	1	2	1	1	1	1	1	2	2	2	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	3						50	40	0		146.94419222962
304145800	208	1	3	2	3	2	2	1	1	2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	2					7	10	7	0		182.77712936925
304145900	208	1	6	2	1	2	2	1	1	1	2	1	1	2	2	1	1	2	1	1	2	2	2	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1		2	2	2	2	167.605920756126
304146000	208	1	7	1	1	2	2	1	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1						0		0		152.235141771487
304146100	208	1	3	1	3	2	2	1	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2							0		0		136.192233672605
304146200	208	1	1	1	3	2	2	1	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1	3	7	7	2		0		0		179.831858061873
304146300	208	1	2	1	4	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	2						12	11	0		174.351556205956
304146400	208	1	2	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	1	1						1	0	0		179.831858061873
304146500	208	1	5	3	1	2	2	1	1	1	1	2	2	2	2	1	1	2	1	2	1	2	2	2	2	2	1	1	1	1	2	2	1	2						20	15	0		105.560071260157
304146600	208	1	5	2	1	2	2	1	2	1	2	1	2	2	2	2	1	2	1	2	1	2	2	2	2	2	2	1	1	1	2	2	1	2						10	3	1	1	242.417635486464
304146700	208	1	5	1	3	2	2	1	1	1	1	2	2	2	2	1	2	2	1	2	2	2	2	2	2	1	1	1	1	1	2	1	1	1						2	0	0		223.382476963573
304146800	208	1	2	1	3	2	2	1	2	1	1	2	2	2	2	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1	4						8	4	0		200.760566584967
304146900	208	1	5	3	1	2	2	1	2	2	1	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	1	1	1	2	2	1	2						10	0	0		141.796780073608
304147000	208	1	5	1	3	1	1	1	1	2	1	1	2	2	2	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	2	1	1	2	1	2	2	2		40	10	2	0	168.50301433236
304147100	208	1	3	2	3	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	1	2					4	5	5	0		188.892076331614
304147200	208	1	3	2	3	2	1	1	1	1	1	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	1	1	2	2	1	1						37	8	4	0	168.50301433236
304147300	208	1	4	2	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	2	2	2	1	2	1	1	1	1	1	2	2	1	3						21	5	1	0	147.730696013731
304147400	208	1	3	1	1	2	2	1	2	2	2	1	2	2	2	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1	1						8	5	0		152.374238206057
304147500	208	1	3	1	1	2	2	1	2	1	2	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	1	2	2	1	2					4	12	8	0		188.398967482745
304147600	208	1	3	2	3	2	2	1	1	1	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	2						20	6	0		131.601919887428
304147700	208	1	4	2	1	2	2	1	2	2	1	2	1	2	2	2	1	2	1	1	2	2	2	2	2	1	1	1	1	2	2	2	1	1					4	20	15	0		173.439026822004
304147800	208	1	7	4	1	2	1	1	1	1	1	1	2	2	2	1	1	1	1	2	2	1	2	2	1	1	1	1	1	2	2	2	1	4						150	40	0		151.991640259788
304147900	208	1	5	3	3	2	2	1	1	2	1	1	2	2	2	1	1	1	1	1	2	2	2	1	1	2	1	1	1	1	2	2	1	2	2	3	2	2		80	50	0		184.631790458663
304148000	208	1	5	3	3	1	1	1	1	1	1	1	2	2	2	1	1	1	2	1	2	2	1	2	1	1	1	1	1	1	1	1	1	4					1	200	15	1	0	183.75542529042
304148100	208	1	4	3	2	1	2	1	1	1	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	1	1	2	2	2	1	1						90	30	0		163.859472140035
304148200	208	1	3	3	1	2	1	1	2	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1						250	50	0		579.431620985973
304148300	208	1	5	3	2	2	1	1	1	1	1	1	2	1	2	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	2	2	1	3	7	2	7	1		100	70	0		596.26233906227
304148400	208	1	6	3	1	2	1	1	2	2	1	2	2	2	2	2	1	2	2	1	2	2	2	2	2	1	1	1	1	1	2	2	1	4	7	7	2	1	2	400	20	5	0	603.099283468778
304148500	208	1	8	4	1	2	1	1	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1	4						50	40	10	7	613.093057138568
304148500	208	2	1	1	3	2	1	1	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	1	1	2	2	2	2	2	2	2							15	10	7	5	613.093057138568
304148600	208	1	5	1	2	1	1	1	2	2	2	1	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	1	2	1	2	2	1	2						20	7	0		587.846980024122
304148700	208	1	3	2	3	2	2	1	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	1	2	2	2	1	1	2					2	10	9	0		523.304706452889
304148800	208	1	8	3	1	2	1	1	1	1	1	1	2	2	2	2	1	1	2	1	2	1	1	2	1	1	1	1	1	1	2	1	1	3						50	30	0		596.26233906227
304148900	208	1	3	2	3	2	1	1	1	1	2	1	2	2	2	2	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2					2	50	40	0		523.304706452889
304149000	208	1	4	2	2	2	2	1	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	1	1	1	2	2	1	2						20	12	0		589.66829612357
304149100	208	1	5	3	2	1	1	1	1	2	1	1	2	1	2	2	1	2	2	2	2	1	2	2	2	1	1	1	1	1	1	1	1	4						500	300	4	4	606.499014199868
304149200	208	1	4	3	2	2	1	1	2	1	2	1	2	2	2	2	1	1	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1	4					2	20	18	0		544.897649826205
304149300	208	1	5	3	1	1	1	1	1	1	1	1	2	1	2	2	1	1	2	1	2	2	1	2	1	1	1	1	1	1	2	1	1	3						40	30	0		596.26233906227
304149400	208	1	4	2	1	1	1	1	2	1	1	2	2	2	2	2	1	2	1	2	2	1	2	2	2	1	1	1	1	1	1	1	1	5						50	30	0		614.914373238017
